BEGIN HEAD
plot                                            ssssssssssss
                                                hhhhhhhhhhhh
                                                000000000000
                                                111223456788
                                                abcabaaaaaab
richness                                        544554453743
                                                031173556688
                                                            
END HEAD
BEGIN TABLE
Clematis vitalba                            tl1 ++.+........
Pinus sylvestris                                554.11..3...
Betula pendula                                  .1.11...2...
Fraxinus excelsior                              ...231......
Populus nigra                                   ...2........
Quercus robur                                   ...1...11...
Tilia cordata                                   ...4....2...
Populus tremula                                 ....1.......
Corylus avellana                            tl2 ...+........
Fraxinus excelsior                              ...12...2...
Betula pendula                                  ....+.......
Cornus sanguinea s.lat.                         ....+.......
Populus tremula                                 ....+.......
Tilia cordata                                   ....2...2...
Clematis vitalba                                ........+...
Crataegus monogyna                              ........1...
Berberis vulgaris                            sl +.+.1..11+.+
Clematis vitalba                                ++.+.3.2+...
Cornus sanguinea s.lat.                         +41124+214..
Ligustrum vulgare                               1+.12++322..
Lonicera xylosteum                              ++.111.1+...
Prunus spinosa                                  +....+......
Salix eleagnos ssp. eleagnos                    ++1.........
Tilia cordata                                   +...21.22+..
Betula pendula                                  .+..+...1...
Corylus avellana                                .+.1...1+1..
Euonymus europaeus                              .+.+1....+..
Frangula alnus                                  .+...+.+++..
Fraxinus excelsior                              .1++.2.211..
Quercus robur                                   .+.....+11.+
Rhamnus cathartica                              .+.....1++..
Salix caprea                                    .+..........
Salix purpurea                                  .+.........+
Viburnum lantana                                .++11..11+..
Ulmus glabra                                    ..+.........
Crataegus monogyna                              ...++..11+..
Viburnum opulus                                 ...+.+...+..
Populus tremula                                 .....1...+.2
Sambucus nigra                                  .....2......
Prunus avium s.lat.                             .......+....
Carpinus betulus                                ........+...
Acer pseudoplatanus                             .........1..
Hippophaë rhamnoides s.lat.                     .........1..
Malus domestica                                 .........r..
Pinus sylvestris                                .........+..
Aegopodium podagraria                        hl r1.122.1....
Anemone nemorosa                                ++.+..+.....
Aposeris foetida                                +...+..+....
Aquilegia atrata                                ++++........
Berberis vulgaris                               +.+.+.+++...
Brachypodium pinnatum s.str.                    1........1++
Brachypodium sylvaticum                         +...11.+....
Calamagrostis epigejos                          2.2..11+..++
Calamagrostis varia                             211+..1.12..
Campanula persicifolia                          +...+..+.2+.
Campanula rapunculoides ssp. rapunculoides      1++.r....1..
Campanula rotundifolia s.str.                   +..+..+..+..
Carex alba                                      22142.1132..
Carex flacca ssp. flacca                        ++++...+.++.
Carex ornithopoda ssp. ornithopoda              ++.+..+.++++
Clematis vitalba                                ++.+.1+1++..
Convallaria majalis ssp. majalis                21+221222...
Cornus sanguinea s.lat.                         12+1+2+11.+.
Crataegus monogyna                              +..1+.+1++..
Epipactis sp.                                   r..r........
Euonymus europaeus                              ++.++.+..+..
Euphorbia cyparissias                           +.1..+++++++
Euphorbia dulcis                                +..++.......
Fraxinus excelsior                              1111.2+11++.
Galium album s.str.                             +.++...+.+++
Galium boreale s.str.                           ++1...1+....
Heracleum sphondylium ssp. sphondylium          r.++1++..+..
Iris pseudacorus                                r...........
