BEGIN HEAD
plot                                     000000000111111111122
                                         123456789012345678901
richness                                 423332223342324222323
                                         042082622914053438384
                                                              
END HEAD
BEGIN TABLE
Securigera varia                      hl +....................
Sedum maximum                            +...................r
Stellaria holostea                       r.....r.2+r1.r21.+1+.
Tanacetum corymbosum                     +....+....+r..1r....r
Trifolium campestre                      r..22................
Achillea pannonica                       +....................
Veronica chamaedrys                      r....................
Vincetoxicum hirundinaria                2.....r...r..r+..rrrr
Viola arvensis                           +...rrr.............+
Ballota nigra                            r....2+2.1...2+......
Bromus benekenii                         r....+r+2+12..+2+.2..
Bromus hordeaceus                        +....................
Bupleurum praealtum                      r..22...+......2....2
Chaerophyllum temulum                    2....323+1.+.22..+r2r
Cornus mas                               2.......r...+....+...
Cotoneaster integerrimus                 +....................
Dactylis polygama                        +....2+.21.2..22++++1
Elymus hispidus                          +..+................2
Euonymus europaeus                       r....+rr........r...+
Euonymus verrucosus                      +.........r.+.r......
Fallopia convolvulus                     2....2.+1+...1+2.+22.
Alliaria petiolata                       2....222+1...222.123r
Fragaria viridis                         r...................+
Allium oleraceum                         r.r..................
Galium aparine                           2....2+212r+.2.1.21++
Galium lucidum                           +.r++...............2
Geranium columbinum                      2....................
Geranium lucidum                         3.....3..............
Geranium robertianum                     2....+22.+...2....+2.
Geum urbanum                             r....r..+..+r.r2...r.
Lapsana communis                         +....2.1.....++...++.
Ligustrum vulgare                        r....................
Medicago falcata                         1.rr.................
Melica ciliata                           +.2.r...............+
Melica uniflora                          r....2++3232+3323222r
Muscari neglectum                        rrrr+..........+.....
Papaver dubium ssp. austromoravicum      r....................
Arabis turrita                           r.............r+..+rr
Polygonatum odoratum                     +.....r.......+.....r
Rosa canina s.latiss.                    1....................
Astragalus onobrychis                    .+...................
Teucrium chamaedrys                      .+++r...............2
Thesium linophyllon                      .r...................
Thymus praecox                           .+..r................
Bromus erectus                           .2232..............r.
Carex humilis                            .+...................
Centaurea scabiosa                       .+r..................
Centaurea stoebe ssp. stoebe             .+1r.................
Dorycnium germanicum                     .+...................
Euphorbia cyparissias                    .r.r+................
Festuca rupicola                         .2.2.................
Fumana procumbens                        .+...................
Globularia punctata                      .1...................
Helianthemum canum                       .+...................
Helianthemum ovatum                      .r...................
Inula ensifolia                          .2...................
Linum tenuifolium                        .r...................
Ononis spinosa                           .r...................
Pimpinella nigra                         .r...................
Potentilla incana                        .r1rr...............r
Salvia verticillata                      .r...................
Sanguisorba minor                        .r+.r................
Asperula cynanchica                      .r+++...............r
Sedum album                              ..+.+................
Sedum sexangulare                        ..+.r................
Senecio jacobaea                         ..r..................
Thymus pulegioides                       ..r..................
Trifolium arvense                        ..+21................
Eryngium campestre                       ..+2.................
Festuca valesiaca                        ..222................
Allium carinatum                         ..r..................
Allium flavum                            ..+21...............r
Allium sphaerocephalon                   ..rr2...............r
Alyssum alyssoides                       ..r++................
Medicago minima                          ..+r+................
Minuartia rubra                          ..r..................
Petrorhagia saxifraga                    ..+.+................
Peucedanum alsaticum                     ..r..................
Picris hieracioides                      ..+..................
Plantago lanceolata                      ..r..................
Poa badensis                             ..+..................
Arenaria serpyllifolia s.str.            ..+.+................
Scabiosa canescens                       ..+.r................
Stachys recta                            ...++................
Thlaspi perfoliatum                      ...rr................
Dianthus pontederae                      ...+r................
Echium vulgare                           ...rr................
Inula oculus-christi                     ...rr................
Iris pumila                              ...+2................
Phleum phleoides                         ...1................2
Artemisia campestris                     ...+.................
Rosa canina s.lat. (= agg.)              ...r................r
Scabiosa ochroleuca                      ...r.................
Sedum acre                               ....r................
Verbascum thapsus                        ....r................
Veronica prostrata                       ....r................
Cuscuta epithymum                        ....r...............+
Jovibarba globifera ssp. hirta           ....r................
Linaria genistifolia                     ....r................
Anthericum ramosum                       ....r................
Orlaya grandiflora                       ....r................
Veratrum nigrum                          .....+.r.+...r2......
Viola odorata                            .....+r+.r....r......
Campanula rapunculoides                  .....r..+++2+r11.++r.
Fraxinus excelsior                       .....+..r1rr2.+...rr.
Hordelymus europaeus                     .....+.1.++..21.++...
Lactuca quercina                         .....+r.1.....r2....r
Asplenium trichomanes                    ......r..............
Stachys alpina                           ......rr.r....r......
Stellaria neglecta                       ......r..2...2+......
Hedera helix                             ......+1+rr+2r1.++2r.
Mycelis muralis                          ......r...+.r....r...
Parietaria officinalis                   ......r............r.
Sambucus nigra                           ......r..............
Chelidonium majus                        .......r.r...r.......
Galeobdolon montanum                     .......+r......1.21..
Allium ursinum                           .......+.+...rr......
Vicia hirsuta                            ........+..r.........
Viola hirta                              ........2............
Brachypodium sylvaticum                  ........+.....+2.+1r.
Campanula persicifolia                   ........r.+r.r+....r.
Crataegus laevigata                      ........r......r....+
Cyclamen purpurascens                    ........+++++.+++++r.
Euphorbia amygdaloides                   ........rr+...r......
Galeopsis pubescens                      ........r.........r..
Hepatica nobilis                         ........+++.2.+.+....
