BEGIN HEAD
plot                                          fffffffffffff
                                              aaaaaaaaaaaaa
                                              kkkkkkkkkkkkk
                                              eeeeeeeeeeeee
                                              0000000001111
                                              1234567890123
richness                                      3223533333353
                                              0976902497198
                                                           
END HEAD
BEGIN TABLE
Aegopodium podagraria                      hl 1.......+1++.
Alchemilla monticola                          ++1+++11+++++
Alopecurus pratensis                          3++.+.++32211
Anthoxanthum odoratum s.str.                  2+..1.121+22.
Cerastium holosteoides                        +++r+++.222++
Chaerophyllum hirsutum s.str.                 +.......+++++
Cynosurus cristatus                           +23+233++.111
Dactylis glomerata ssp. glomerata             111+1+.+221+1
Festuca pratensis s.str.                      1221122.+1111
Geranium sylvaticum                           +.......1++..
Heracleum sphondylium ssp. sphondylium        2.......2221.
Leontodon hispidus ssp. hispidus              ++1.+r+....+.
Leucanthemum ircutianum                       1...+r..r++1.
Myosotis palustris agg.                       1.....1.r+2+.
Phleum pratense s.str.                        +++..1+r+++1.
Plantago lanceolata                           +.+r1...++1+.
Poa pratensis                                 111..1+r+++1.
Poa trivialis                                 2222.21122223
Ranunculus acris ssp. acris                   221++21.22221
Ranunculus repens                             +222+23.11+r3
Rumex acetosa                                 +.....r.+++++
Taraxacum sect. Ruderalia                     +.1++rrr2111+
Trifolium pratense ssp. pratense              2++.+1+.1222+
Trifolium repens ssp. repens                  2221+21.32221
Trisetum flavescens ssp. flavescens           2.+.+++.2332.
Veronica arvensis                             +.......r++..
Veronica chamaedrys ssp. chamaedrys           1r+.+.+++1+++
Veronica serpyllifolia ssp. serpyllifolia     +++++.2+++r++
Vicia cracca s.str.                           1........rr..
Vicia sepium                                  +........r.+.
Bellis perennis                               .+++++..++++1
Cardamine pratensis s.str.                    .r......r...r
Carex hirta                                   .++.r+.r...1.
Carum carvi                                   .12..1.......
Centaurea jacea ssp. jacea                    .+1.11.....+r
Juncus effusus ssp. effusus                   .+.1rr+4....1
Lolium perenne                                .211.1..1....
Mentha longifolia                             .+.+........2
Plantago major s.lat.                         .11..1.....r+
Poa annua ssp. annua                          .321.+1..+..1
Prunella vulgaris                             .+2+222.+.+11
Stellaria graminea                            .r...+.r...+.
Agrostis stolonifera s.str.                   ...1...+....1
Ajuga reptans                                 ...++..1...+.
Alopecurus geniculatus                        ...+........+
Cardamine amara ssp. amara                    ...1.........
Cardamine flexuosa                            ...1..++r+..+
Cardamine impatiens                           ...r.........
Chrysosplenium alternifolium                  ...1........r
Ficaria verna ssp. verna                      ...+.........
Geranium robertianum s.str.                   ...+...+.....
Geum rivale                                   ...+...+.....
Glyceria notata                               ...2...2....2
Lysimachia nemorum                            ...2..+2...++
Potentilla reptans                            ...+r+......+
Primula elatior s.str.                        ...+...2...r.
Ranunculus lanuginosus                        ...r.........
Stachys sylvatica                             ...r.........
Veronica beccabunga                           ...+...1....+
Veronica persica                              ...+...2.....
Achillea millefolium s.str.                   ....+.....r++
Agrostis capillaris                           ....1......+.
Anemone nemorosa                              ....r.+......
Briza media                                   ....1........
Campanula rotundifolia s.str.                 ....r........
Carex caryophyllea                            ....+......r.
Carex flacca ssp. flacca                      ....+..+.....
Carex pallescens                              ....+.r....1.
Carex panicea                                 ....+........
Carex pilulifera ssp. pilulifera              ....+........
Carex sylvatica ssp. sylvatica                ....+.r....+1
Crepis aurea ssp. aurea                       ....r.+......
Danthonia decumbens ssp. decumbens            ....r........
Equisetum arvense                             ....r+.......
Festuca nigrescens                            ....3..+.....
Fragaria vesca                                ....r..1...r.
Galium album s.str.                           ....+...+..1.
Galium pumilum                                ....r........
Glechoma hederacea                            ....+...+1.1.
Hieracium lactucella                          ....1........
Hieracium pilosella                           ....2........
Knautia arvensis ssp. arvensis                ....+........
Lotus corniculatus s.str.                     ....+......+.
Luzula multiflora s.str.                      ....r........
Nardus stricta                                ....r........
Phyteuma orbiculare s.str.                    ....r........
Polygala vulgaris ssp. vulgaris               ....+........
Potentilla erecta                             ....1..r.....
Ranunculus nemorosus                          ....+........
Thymus pulegioides ssp. pulegioides           ....+........
Trifolium medium ssp. medium                  ....2......+.
Veronica officinalis                          ....r........
Viola canina s.lat.                           ....1........
Viola sp.                                     ....1........
Lysimachia nummularia                         .....r.1...++
Scorzoneroides autumnalis                     .....r.....r.
Lychnis flos-cuculi                           ......r.r..r.
Rumex obtusifolius s.lat.                     ......r..2..+
Willemetia stipitata ssp. stipitata           ......r......
Carex remota ssp. remota                      .......1.....
Epilobium parviflorum                         .......+....r
Epilobium sp.                                 .......1.....
Equisetum palustre                            .......+.....
Thelypteris limbosperma                       .......+.....
Anthriscus sylvestris s.str.                  ........+1...
Crepis biennis                                ........r....
Silene dioica                                 ........r....
Tragopogon orientalis                         ........r....
Bromus hordeaceus ssp. hordeaceus             .........+...
Myosotis sylvatica s.str.                     .........+...
Persicaria bistorta                           .........+...
Campanula patula ssp. patula                  ...........1.
Cirsium palustre                              ...........r.
Crepis mollis ssp. mollis                     ...........r.
Festuca rubra ssp. rubra                      ...........2.
Homalotrichon pubescens ssp. pubescens        ...........2.
Hypericum perforatum                          ...........r.
Lathyrus pratensis ssp. pratensis             ...........+.
Luzula campestris s.str.                      ...........+.
Medicago lupulina                             ...........+.
Pimpinella major var. major                   ...........1.
Potentilla anserina                           ............r
END TABLE
