BEGIN HEAD
plot                                         ffffffffffffffffffffffffffff
                                             uuuuuuuuuuuuuuuuuuuuuuuuuuuu
                                             0000000000000000000000000001
                                             1222223445555555566666777890
                                             aabcdeaababcdefghabcdeabc   
richness                                     242141324 111111122232345555
                                             6135366728316589576058521006
                                                                         
END HEAD
BEGIN TABLE
Clematis vitalba                          tl .+..+.......................
Picea abies                                  .45545.141221222422222332.1.
Abies alba                                   ..1.........2.22.32.12.1....
Fagus sylvatica                              ..2+.2.3.5555555344445222...
Fraxinus excelsior                           ...+....1...222.......+.....
Larix decidua                                .....1..........3.........1.
Acer pseudoplatanus                          .......2.1.....1.+22.1111...
Sorbus aria s.str.                           .................+....++2...
Viscum album s.str.                          ....................+.......
Pinus sylvestris                             ......................2.....
Alnus glutinosa                              ..........................5.
Alnus incana                                 ..........................1.
Clematis vitalba                          sl .+..+.......................
Fagus sylvatica                              ...+.+.........1+.....++.+..
Picea abies                                  ...+1..11......1..+..+..1121
Sorbus aria s.str.                           ....+.................2+1...
Abies alba                                   ..................+.++......
Acer pseudoplatanus                          ..................+....1.++.
Amelanchier ovalis                           ......................+.....
Lonicera alpigena                            ......................+.....
Alnus glutinosa                              .........................312
Alnus incana                                 .........................2+1
Betula pendula                               .........................+..
Larix decidua                                .........................211
Salix appendiculata s.str.                   .........................+..
Salix purpurea                               ..........................2.
Sambucus racemosa                            ..........................1.
Salix caprea                                 ...........................+
Adenostyles alpina                        hl +1++1.+11.+..+.+.11111+++1++
Ajuga reptans                                ++..+.+....+........+....+..
Aposeris foetida                             +1...++++.+....+.+++.++++...
Atropa bella-donna                           +........................+..
Brachypodium sylvaticum                      21.....+1........1+1+.......
Calamagrostis varia                          33..2.222........2211+222212
Carex flacca ssp. flacca                     1+..1.++1............++.+1.2
Carex pallescens                             +...........................
Carex sylvatica ssp. sylvatica               1...........................
Cirsium arvense                              +........................++2
Cirsium palustre                             ++..+......................+
Clinopodium vulgare ssp. vulgare             +.....+.+...............+...
Deschampsia cespitosa                        1+..................+.......
Euphorbia cyparissias                        +.+.+.11.............++111+2
Fagus sylvatica                              ++.+.+.....+++++.+++++..++..
Fragaria vesca                               +1..+.+.................++++
Galium odoratum                              +.................+.+.......
Helleborus niger                             1.+++..+.+++++++.1112+.1++++
Picea abies                                  +......1............+...+1.1
Potentilla reptans                           +...........................
Rubus idaeus                                 +...................+....+++
Rubus sect. Rubus                            +..+.+............+.........
Salix caprea                                 +...........................
Veronica officinalis                         +...................r.......
Viola hirta                                  +...+.+++.............+.+...
Viola reichenbachiana                        ++++.+....+++.++.+++++...+..
Abies alba                                   .++..+....+.+.+++...++.+....
Acer pseudoplatanus                          .++++..+++..++++++++++..+++1
Carduus defloratus ssp. viridis              .+..+..++.............+++.11
Carex alba                                   .21+1+..1....++1+33232..211.
Clematis vitalba                             .+..+.............+......+..
Dryopteris dilatata                          .+..........................
Epipactis atrorubens                         .+r.....+.............++..r.
Fraxinus excelsior                           .+++++.+++.+++1+1++++++.++++
Galeobdolon montanum                         .1+.....+.++++.+..+.1+...+..
Galium album s.str.                          .1..+......................+
Galium rotundifolium                         .+.+...+....................
Gymnocarpium robertianum                     .+....+.+...................
Huperzia selago ssp. selago                  .+..........................
Lactuca muralis                              .+..+..........+.++.++....+.
Lysimachia nemorum                           .+.++.........r............+
Melica nutans s.str.                         .1...+..+........1+.+.+1....
Mercurialis perennis s.str.                  .11++++++.+++++++22.11.+++..
Origanum vulgare ssp. vulgare                .1..1.+.+..............++.+2
Oxalis acetosella                            .+.++.........+..+..........
Paris quadrifolia                            .++..............+..+.......
Petasites albus                              .+.......................1.+
Polystichum aculeatum s.str.                 .++.........+...............
Polygonatum verticillatum                    .++.+.........+..+.+++....+.
