BEGIN HEAD
plot                                         ffffffffffffffffffffffffffff
                                             uuuuuuuuuuuuuuuuuuuuuuuuuuuu
                                             0000000000000000000000000001
                                             1222223445555555566666777890
                                             aabcdeaababcdefghabcdeabc   
richness                                     242141324 111111122232345555
                                             6135366728316589576058521006
                                                                         
END HEAD
BEGIN TABLE
Picea abies                               tl .45545.141221222422222332.1.
Clematis vitalba                             .+..+.......................
Fagus sylvatica                              ..2+.2.3.5555555344445222...
Abies alba                                   ..1.........2.22.32.12.1....
Fraxinus excelsior                           ...+....1...222.......+.....
Larix decidua                                .....1..........3.........1.
Acer pseudoplatanus                          .......2.1.....1.+22.1111...
Sorbus aria s.str.                           .................+....++2...
Viscum album s.str.                          ....................+.......
Pinus sylvestris                             ......................2.....
Alnus glutinosa                              ..........................5.
Alnus incana                                 ..........................1.
Clematis vitalba                          sl .+..+.......................
Picea abies                                  ...+1..11......1..+..+..1121
Fagus sylvatica                              ...+.+.........1+.....++.+..
Sorbus aria s.str.                           ....+.................2+1...
Abies alba                                   ..................+.++......
Acer pseudoplatanus                          ..................+....1.++.
Lonicera alpigena                            ......................+.....
Amelanchier ovalis                           ......................+.....
Alnus glutinosa                              .........................312
Larix decidua                                .........................211
Alnus incana                                 .........................2+1
Salix appendiculata s.str.                   .........................+..
Betula pendula                               .........................+..
Salix purpurea                               ..........................2.
Sambucus racemosa                            ..........................1.
Salix caprea                                 ...........................+
Calamagrostis varia                       hl 33..2.222........2211+222212
Brachypodium sylvaticum                      21.....+1........1+1+.......
Deschampsia cespitosa                        1+..................+.......
Rubus idaeus                                 +...................+....+++
Cirsium arvense                              +........................++2
Atropa bella-donna                           +........................+..
Carex flacca ssp. flacca                     1+..1.++1............++.+1.2
Carex sylvatica ssp. sylvatica               1...........................
Carex pallescens                             +...........................
Picea abies                                  +......1............+...+1.1
Helleborus niger                             1.+++..+.+++++++.1112+.1++++
Clinopodium vulgare ssp. vulgare             +.....+.+...............+...
Galium odoratum                              +.................+.+.......
Adenostyles alpina                           +1++1.+11.+..+.+.11111+++1++
Euphorbia cyparissias                        +.+.+.11.............++111+2
Fragaria vesca                               +1..+.+.................++++
Fagus sylvatica                              ++.+.+.....+++++.+++++..++..
Rubus sect. Rubus                            +..+.+............+.........
Salix caprea                                 +...........................
Aposeris foetida                             +1...++++.+....+.+++.++++...
Viola reichenbachiana                        ++++.+....+++.++.+++++...+..
Cirsium palustre                             ++..+......................+
Veronica officinalis                         +...................r.......
Viola hirta                                  +...+.+++.............+.+...
Ajuga reptans                                ++..+.+....+........+....+..
Potentilla reptans                           +...........................
Sorbus aucuparia ssp. aucuparia              .+.+...+.........+...+......
Polygonatum verticillatum                    .++.+.........+..+.+++....+.
Mercurialis perennis s.str.                  .11++++++.+++++++22.11.+++..
Lysimachia nemorum                           .+.++.........r............+
Galeobdolon montanum                         .1+.....+.++++.+..+.1+...+..
Melica nutans s.str.                         .1...+..+........1+.+.+1....
Carex alba                                   .21+1+..1....++1+33232..211.
Salvia glutinosa                             .+..+++.+.......++..+...+...
Galium rotundifolium                         .+.+...+....................
Huperzia selago ssp. selago                  .+..........................
Dryopteris dilatata                          .+..........................
Galium album s.str.                          .1..+......................+
Origanum vulgare ssp. vulgare                .1..1.+.+..............++.+2
Petasites albus                              .+.......................1.+
Oxalis acetosella                            .+.++.........+..+..........
Paris quadrifolia                            .++..............+..+.......
Acer pseudoplatanus                          .++++..+++..++++++++++..+++1
Vincetoxicum hirundinaria                    .+..++212......+..+1+++22++1
Clematis vitalba                             .+..+.............+......+..
Veronica chamaedrys ssp. chamaedrys          .+..........................
Carduus defloratus ssp. viridis              .+..+..++.............+++.11
Abies alba                                   .++..+....+.+.+++...++.+....
