BEGIN HEAD
plot                                         000000000111111111
                                             123456789012345678
richness                                     576356867777777676
                                             351575135487533615
                                                               
END HEAD
BEGIN TABLE
Corylus avellana                          sl 22..+.............
Frangula alnus                               +++...............
Fagus sylvatica                              +r+...r...........
Picea abies                                  1.1...+...........
Sorbus aria s.str.                           r1..++1.+.........
Berberis vulgaris                            1+..++1.+.........
Amelanchier ovalis                           .+....1...........
Acer pseudoplatanus                          .++21+............
Viburnum opulus                              .r................
Viburnum lantana                             .r................
Pinus sylvestris                             ..2...............
Fraxinus excelsior                           ...211+.1........+
Calamagrostis varia                       hl 22212222211111121+
Buphthalmum salicifolium                     112+++1++1211+++1+
Euphorbia cyparissias                        +1++11112111111111
Viola hirta                                  +1+++11+++++++++1+
Clinopodium vulgare ssp. vulgare             11111.1.11111111+.
Fragaria vesca                               12++++1.1++.+..1r.
Scabiosa lucida ssp. lucida                  +++.+.++r++..+++++
Thymus praecox s.lat.                        +1+.+1111111111111
Ranunculus nemorosus                         ++1.1+.11+++++++++
Vincetoxicum hirundinaria                    ++r.+1111222222221
Cyclamen purpurascens                        11..+++1++1+1111++
Valeriana officinalis ssp. tenuifolia        r+..+.+rr+r+11++++
Sesleria caerulea s.str.                     43...1121121111+12
Helleborus niger                             ++.+.+rr++1.21+222
Betonica alopecuros                          11.+.11111+111+122
Lotus corniculatus s.str.                    1r+..+++r1++++++11
Carduus defloratus ssp. viridis              11r..+++++1.+1++11
Anthyllis vulneraria s.lat.                  1.+....rr.+..++.+1
Carex alba                                   11.....+.111+11++1
Solidago virgaurea ssp. virgaurea            11................
Knautia maxima ssp. maxima                   +r................
Erica carnea                                 22+...1...........
Polygala chamaebuxus                         111...............
Petasites paradoxus                          111...............
Euphorbia amygdaloides ssp. amygdaloides     +.+...............
Securigera varia                             rr..11.r.1........
Aquilegia atrata                             +1..+r+...........
Carex humilis                                +...+12.2.........
Trifolium montanum ssp. montanum             +.....1+..........
Campanula cespitosa                          +....rr...........
Euphrasia officinalis ssp. rostkoviana       11+..+11.++...r...
Daucus carota ssp. carota                    rrr.....r+.rr+....
Pimpinella saxifraga ssp. saxifraga          r++..1++1.r.++....
Allium carinatum                             +....++1.111+1+...
Potentilla erecta                            11+...+1111+1111..
Origanum vulgare ssp. vulgare                111+1111111+++++..
Laserpitium latifolium ssp. latifolium       +..11++112.+1.++..
Carex flacca ssp. flacca                     +.+.++11+1++111r..
Salvia glutinosa                             11+22+1..+..1+....
Clematis vitalba                             ++111+.r+++...+...
Verbascum nigrum                             ++.+++..1r.+++r.r.
Silene nutans ssp. nutans                    r+.......+1++1..++
Clinopodium alpinum ssp. alpinum             11....+...+++++.11
Galium mollugo agg.                          .11.1111111111111.
Teucrium chamaedrys ssp. chamaedrys          .1..11112111111+11
Carex digitata                               .11....++++++++112
Hieracium piloselloides s.str.               .++...............
Hieracium bifidum                            .+1..............r
Solidago canadensis                          .++.1.............
Potentilla verna agg.                        .+...+++1.+.......
Asplenium ruta-muraria                       .r...++.+.........
Hypericum perforatum                         .++..1++r111...+..
Centaurea jacea s.lat.                       .+1++.1+11+1+.....
Salvia verticillata                          .11+1111+++1112...
Dianthus carthusianorum s.lat.               .+...+++1...+.r.++
Medicago lupulina                            .r.......+1++++...
Viola reichenbachiana                        .+r......111111111
Aconitum variegatum ssp. variegatum          .r..........+11222
Eupatorium cannabinum                        .r...+...r.....++.
Phyteuma orbiculare s.str.                   .+.............+r+
Campanula glomerata                          .+....+......r.r++
Leontodon hispidus s.lat.                    .r+.++.++..rr..r.r
Leucanthemum vulgare agg.                    .r+.1r+....+.1..+.
Ajuga reptans                                .+.......+....+..r
Genista tinctoria                            .1................
Cirsium erisithales                          .+.............1..
Cornus sanguinea s.lat.                      .+.1..1.1.........
Fraxinus excelsior                           .1+.+..+.+1r+.++++
Bromus erectus                               ..3...............
Pastinaca sativa ssp. sativa                 ..+...............
Hieracium lachenalii                         ..+...............
Betonica officinalis                         ..r...............
