BEGIN HEAD
plot                                               llllllllllllllllllllllllllllllllll
                                                   pppppppppppppppppppppppppppppppppp
                                                   0000000001111111111222222222233333
                                                   1234567890123456789012345678901234
richness                                           7566433765446544642323336725446555
                                                   7304088262625154398573883195822450
                                                                                     
END HEAD
BEGIN TABLE
Fagus sylvatica                                tl1 343253.24.242..............34433.2
Acer pseudoplatanus                                .+...........2.........2..2.......
Fraxinus excelsior                                 .......2.....2..23..42...23....2..
Tilia × vulgaris (=T. cordata × platyphyllos)      .......1....22..2.....2...3...2...
Larix decidua                                      .........2........................
Ulmus glabra                                       .................2...+12..2.......
Tilia platyphyllos                                 ..................22.3.2.1........
Acer platanoides                                   ....................2.1..2........
Quercus robur                                      .........................2........
Acer platanoides                               tl2 2.2....1+..............1..1.......
Fagus sylvatica                                    22.2222133232...+.......1..322.222
Fraxinus excelsior                                 2+21.122.122.21.2132+2221..1112+23
Tilia platyphyllos                                 2.2....2......2...1.232122........
Acer pseudoplatanus                                .112.....2.2+2....2+.121+.221.1..2
Sorbus aria s.str.                                 .12..2121.2.22..+112+...2+....+...
Abies alba                                         ..2...............................
Tilia × vulgaris (=T. cordata × platyphyllos)      ...2.2......221..++1..+.21........
Tilia cordata                                      .......21.........................
Ulmus glabra                                       .......1+.......+3..1112..........
Picea abies                                        .........1......++.....+1.......1.
Fragaria vesca                                     ............2.....................
Pinus sylvestris                                   ...............2+.................
Cornus sanguinea s.lat.                            ................1.................
Populus tremula                                    ................2.................
Taxus baccata                                      ................1.................
Betula pendula                                     .................1................
Corylus avellana                                   .....................+............
Viscum album s.str.                                ........................+.........
Quercus robur                                      .........................3........
Acer pseudoplatanus                             sl +....1..+1+..+1........+++.++.2+.+
Amelanchier ovalis                                 r..+...1....+1133.......2+........
Cornus sanguinea s.lat.                            +......2....++....+......+........
Corylus avellana                                   1.++.+22++212221223332422+3.......
Fagus sylvatica                                    2.11.+.+.+11+...++.........++..+..
Fraxinus excelsior                                 1+121221++11.1221.......+..+++1+1+
Ligustrum vulgare                                  2......1....21+22.......22........
Sorbus aria s.str.                                 112.1222.12122+1......+.11......1.
Tilia platyphyllos                                 +......2......1...1.+1++1.........
Ulmus glabra                                       +.+....+....+....++++...+.1....r..
Viburnum lantana                                   +...........++.11.......11....r...
Acer platanoides                                   ..+.............+.......++........
Daphne mezereum                                    ..+.....r.+...................++..
Sorbus aucuparia ssp. aucuparia                    ..1.............+.......+.........
Rhamnus cathartica                                 ...+...1..+.1+112.......+.........
Tilia × vulgaris (=T. cordata × platyphyllos)      ...1........1.+...+.+.+.+.........
Frangula alnus                                     ......+.......+....r....1.........
Rosa canina s.str.                                 ......++....+++11..r....++........
Rosa pendulina                                     ......++....++....................
Crataegus monogyna                                 .......+....r++........r.+........
Lonicera xylosteum                                 .......+........+......+......++..
Tilia cordata                                      .......+.......1..................
Sambucus nigra                                     ........+..............r..+.......
Euonymus latifolius                                ...........r......................
Fragaria vesca                                     ............1.....................
Clematis vitalba                                   .............++...+.+++..+........
Euonymus europaeus                                 .............+....................
Berberis vulgaris                                  ..............+1+.......+.........
Larix decidua                                      ...............+..................
Cotoneaster tomentosus                             ................+.................
Populus tremula                                    ................2.................
Quercus robur                                      ................1.......r+........
Cotoneaster dielsianus                             ........................r.........
Picea abies                                        .................................+
Acer pseudoplatanus                             hl ++++...++..+......+++++.+++.++++++
Aconitum lycoctonum ssp. vulparia                  ++..........................+1.++2
Aconitum variegatum ssp. variegatum                1+++.++++++++....+.+.......++1.+11
Adenostyles alpina                                 ++1+2+..1+.......r.........111++.1
Angelica sylvestris ssp. sylvestris                +.+.....r....................r+r.+
Arabis hirsuta s.str.                              ++.....+........r..........r......
Asplenium ruta-muraria                             r.++...++r+++1+++.....+.++r...r++.
Asplenium viride                                   r.......+..................+r.+...
Berberis vulgaris                                  +.......r......++..+..r.++........
Brachypodium sylvaticum                            1................1.....1...1+++1+1
Buphthalmum salicifolium                           2122+112+12.21+11..+....2+..++++1.
Calamagrostis varia                                22222222122+221+2.+1.+++1+.2212222
Campanula cochleariifolia                          r.+....++..................+....r.
Campanula rapunculoides ssp. rapunculoides         +.r.+..+r....+..........r1.......+
Campanula trachelium                               +++++.+++..+++...r...++.r+r+++++r+
Carduus defloratus ssp. viridis                    ++11.2+1r12r11++1.++..+.1+r+++++1+
Carex alba                                         342.321131.311.++2+r221+13r+221+.2
Carex humilis                                      22223442+43222212..r....21.+122231
Carex mucronata                                    r......+r++.r+22+.......+r........
Cephalanthera longifolia                           +.r.+...r..r......r..........r...r
Clematis vitalba                                   ++.++.2++.++12+.1.1211+..1.+..+.++
Clinopodium alpinum ssp. alpinum                   ++.+..++.r+.r+..........+.......r.
Convallaria majalis ssp. majalis                   +rr+..+.+r..+.....+.r....+..r...++
Cornus sanguinea s.lat.                            +......1....1+..++1++.++.+........
Corylus avellana                                   +r.+.++++.++1..+++1+++1++.+.......
Cyclamen purpurascens                              +.+....+..r.rr..1.................
Daphne mezereum                                    ++++++.+++.++....+.......+..++++.+
Epipactis atrorubens                               +r.rrr...r+.......+...+.++...r..+r
Epipactis helleborine s.lat.                       +r..+...1.++....r............r....
Eupatorium cannabinum                              +1++1+...+.+.............r.+++11.+
Euphrasia salisburgensis s.str.                    +..+.....+....2+................r.
Fagus sylvatica                                    +++.+...++++....+..........++...+.
Frangula alnus                                     rr.r..++....++++........+.....r.+.
Fraxinus excelsior                                 +++.+++.+.+..+++++++++++++++..++++
Galeobdolon flavidum                               rr+++...+........11+111...111+++.2
Galium anisophyllon                                +r.+..+..r+....+..................
Galium sylvaticum s.str.                           ++++....r.++.....r.....+...++.r...
Hepatica nobilis                                   11+++++.+1+1++.r11r++++++1++++++++
Hieracium bifidum                                  +.++....+.+.+.+.........++..+.++..
Hieracium murorum                                  +..++..........................r..
Hypericum perforatum                               r...............+...............+.
Kernera saxatilis                                  +.++...+r...r++.........r..+...+..
Lactuca muralis                                    +++.+...+...+...r+.....+.+++++++.+
Laserpitium latifolium ssp. latifolium             r.r+.....+r.+...+.....r.++....+.+.
Laserpitium siler ssp. siler                       r..1..+3r...222.+..2.r+.3+......+.
Leontodon hispidus ssp. hyoseroides                r.................................
Ligustrum vulgare                                  +.....r++...2++11...+..r22........
