BEGIN HEAD
plot                                                   000000000111111
                                                       123456789012345
accuracy                                                  5212 22 1 21
                                                       555005050050200
                                                       000000000000000
                                                                      
elevation                                                 1           
                                                          9           
                                                       NNN2NNNNNNNNNNN
                                                       AAA0AAAAAAAAAAA
                                                                      
slope                                                  NNN NNNNNNNNNNN
                                                                      
pls                                                    NNN1NNNNNNNNNNN
                                                       AAA0AAAAAAAAAAA
                                                                      
cov                                                    NNN9NNNNNNNNNNN
                                                       AAA0AAAAAAAAAAA
                                                                      
richness                                               45124223224212 
                                                       464773503305419
                                                                      
END HEAD
BEGIN TABLE
Anthyllis vulneraria ssp. alpicola                  hl ++.22r...rr....
Bellidiastrum michelii                                 rr..r+........+
Biscutella laevigata ssp. laevigata                    r..............
Campanula scheuchzeri                                  r+.1r...r......
Carduus defloratus ssp. viridis                        +r.2++.........
Carex ferruginea s.str.                                43.11..........
Erica carnea                                           +..1.2.........
Gentiana pannonica                                     1.....r........
Geranium sylvaticum                                    rr.............
Gymnadenia conopsea ssp. conopsea                      r+.............
Helianthemum nummularium ssp. grandiflorum             ++r333.........
Helictotrichon parlatorei                              ++...34........
Heracleum austriacum ssp. austriacum                   11rr..+........
Homogyne discolor                                      1......+1.+1...
Lilium martagon                                        +r.............
Lotus corniculatus s.lat.                              +2..++.........
Luzula sylvatica s.lat.                                +..............
Mercurialis perennis s.str.                            r2.............
Pedicularis rostratocapitata ssp. rostratocapitata     r...r.r+.r+....
Phyteuma orbiculare s.str.                             r+.++r.........
Phyteuma spicatum ssp. spicatum                        r..............
Pimpinella major s.lat.                                +2.............
Pinus mugo s.str.                                      r++............
Polygala chamaebuxus                                   1..............
Potentilla erecta                                      1.....+........
Primula clusiana                                       +........111...
Pulsatilla alpina ssp. alpina                          +..............
Ranunculus hybridus                                    +..............
Ranunculus montanus s.str.                             1....1.r.......
Rhododendron hirsutum                                  1.....+..+1....
Rosa pendulina                                         r..............
Rubus saxatilis                                        r..............
Salix alpina                                           r..............
Salix glabra                                           +..............
Sesleria caerulea s.str.                               +...121.r+.....
Soldanella alpina                                      +...........3..
Solidago virgaurea ssp. minuta                         rr.r...........
Thalictrum aquilegiifolium                             rr.............
Trollius europaeus                                     3..........+...
Vaccinium myrtillus                                    2..............
Valeriana saxatilis                                    r.....r........
Valeriana tripteris                                    r..............
Veratrum album ssp. album                              rrr...+........
Viola biflora                                          +..............
Alchemilla anisiaca                                    .r..2..........
Anemonastrum narcissiflorum                            .+....+........
Betonica alopecuros                                    .2..+.1........
Buphthalmum salicifolium                               .2....r........
Clinopodium alpinum ssp. alpinum                       .r.+++.........
Crepis pyrenaica                                       .+.............
Daphne mezereum                                        .r.............
Deschampsia cespitosa                                  .+..+.........1
Dianthus alpinus                                       .r..r.r........
Galium anisophyllon                                    .++1++.....r...
Globularia nudicaulis                                  .r.2...........
Helleborus niger                                       .2.............
Hippocrepis comosa                                     .r..1..........
Hypericum maculatum s.str.                             .r.1...........
Larix decidua                                          .r.............
Laserpitium latifolium ssp. latifolium                 .r.............
Leontodon hispidus s.lat.                              .r..+..........
Leucanthemum atratum s.str.                            .+..+.+........
Linum alpinum                                          .+.............
Melica nutans s.str.                                   .r.............
Meum athamanticum                                      .3.............
Myosotis sylvatica s.str.                              .r.r...........
Phleum hirsutum                                        .++.+..........
Picea abies                                            .r.............
Polygala amara ssp. brachyptera                        .r.+.r.........
Ranunculus lanuginosus                                 .r.............
Ranunculus nemorosus                                   .+....2........
Salix appendiculata s.str.                             .r.............
Scabiosa lucida ssp. lucida                            .+.2r.r........
Silene vulgaris ssp. vulgaris                          .+....+........
Sorbus aucuparia s.lat.                                .r.............
Sorbus chamaemespilus                                  .r.............
Thymus pulegioides ssp. pulegioides                    .r.............
Traunsteinera globosa                                  .r.............
Trifolium pratense s.lat.                              .r+.r..........
Valeriana officinalis s.lat.                           .r.............
Verbascum alpinum                                      .+.............
Anthoxanthum alpinum                                   ..+.r..........
Carex sempervirens ssp. sempervirens                   ..+.233........
Crepis aurea ssp. aurea                                ..r.r..........
Euphrasia officinalis ssp. picta                       ..11...........
Festuca norica                                         ..53.12........
Myosotis alpestris                                     ..r....r.......
Poa alpina                                             ..+r+..rr..rr+3
Achillea clavennae                                     ...+.1.........
Carlina acaulis ssp. acaulis                           ...3r..........
Cerastium fontanum s.str.                              ...r...........
Gentianella aspera                                     ...r...........
Hieracium bifidum                                      ...r..+........
Hieracium villosum                                     ...+...........
Juniperus communis ssp. nana                           ...r...........
Parnassia palustris                                    ...r...........
Arabidopsis arenosa                                    ....r..........
Arenaria serpyllifolia s.str.                          ....r..........
Briza media                                            ....+..........
Carex capillaris                                       ....+..1++r....
Carex flacca ssp. flacca                               ....1..........
Carex lepidocarpa                                      ....r..........
Erigeron glabratus ssp. glabratus                      ....r..........
Festuca rubra s.lat.                                   ....1..........
Gentiana nivalis                                       ....r..........
Linum catharticum                                      ....r..........
Minuartia gerardii                                     ....1..r...r...
Nigritella nigra ssp. austriaca                        ....r..........
Orchis ustulata ssp. ustulata                          ....r..........
Pedicularis verticillata                               ....r.rr.......
Persicaria vivipara                                    ....+..1++++1+.
Prunella vulgaris                                      ....r..........
Silene acaulis ssp. longiscapa                         ....+..12+11...
Thesium alpinum                                        ....rr.........
Thymus praecox ssp. polytrichus                        ....r+....r....
Tofieldia calyculata                                   ....+.....+....
Athamanta cretensis                                    .....+.........
Coeloglossum viride                                    .....r.........
Nigritella miniata s.str.                              .....r.........
Noccaea crantzii                                       .....+.........
Saxifraga paniculata                                   .....+....+....
Carex mucronata                                        ......r........
Crepis alpestris                                       ......r........
Gymnadenia odoratissima                                ......r........
Tephroseris longifolia s.str.                          ......r........
Arenaria ciliata                                       .......r..r+...
Carex atrata                                           .......21.rr...
Carex firma                                            .......12444...
Cerastium alpinum ssp. alpinum                         .......r.......
Doronicum glaciale ssp. glaciale                       .......r.......
Dryas octopetala                                       .......42331...
Euphrasia minima s.str.                                .......r+.r+...
Festuca pumila                                         .......3+++1...
Gentiana verna ssp. verna                              .......r.......
Hedysarum hedysaroides ssp. hedysaroides               .......+..r....
Helianthemum alpestre                                  .......+..+....
Loiseleuria procumbens                                 .......21+2....
Polytrichum alpinum                                    .......+.......
Ranunculus alpestris s.str.                            .......r+..r21.
Salix retusa s.str.                                    .......1....21.
Soldanella austriaca                                   .......+.......
Valeriana celtica ssp. norica                          .......2..14...
Agrostis alpina s.str.                                 ........12+....
Antennaria carpatica                                   ........r.r....
Carex parviflora                                       ........r..r+..
Kobresia simpliciuscula                                ........r1+....
Pachypleurum mutellinoides                             ........+....r.
Primula minima                                         ........31.....
Salix serpyllifolia                                    ........1..4...
Selaginella selaginoides                               ........rrrr...
Vaccinium gaultherioides                               ........+......
Androsace chamaejasme                                  .........+.....
Chamorchis alpina                                      .........+.....
Gentiana clusii ssp. clusii                            .........rr....
Oxytropis montana s.str.                               .........1+....
Vaccinium vitis-idaea                                  .........r.....
Armeria alpina                                         ..........rr...
Bartsia alpina                                         ..........r....
Campanula barbata ssp. barbata                         ..........+....
Carex fuliginosa                                       ..........+....
Crepis terglouensis                                    ..........+....
Empetrum hermaphroditum                                ..........+....
Gentiana pumila                                        ..........+1...
Huperzia selago ssp. selago                            ..........r....
Pinguicula alpina                                      ..........+....
Saussurea pygmaea                                      ..........+....
Saxifraga aizoides                                     ..........1....
Festuca rupicaprina                                    ...........+...
Saxifraga moschata                                     ...........+...
Senecio carniolicus                                    ...........r...
Achillea atrata                                        ............r1.
Alchemilla fissa s.str.                                ............r+2
Galium noricum                                         ............+r.
Gentiana bavarica s.str.                               ............r+.
Luzula glabrata                                        ............1..
Mutellina adonidifolia                                 ............3..
Saxifraga androsacea                                   ............1+.
Veronica alpina                                        ............+11
Arabis caerulea                                        .............+.
Cerastium arvense ssp. strictum                        .............r.
Epilobium anagallidifolium                             .............r.
Gnaphalium supinum                                     .............3.
Hornungia alpina ssp. alpina                           .............r.
Potentilla brauneana                                   .............r.
Sagina saginoides                                      .............r.
Salix herbacea                                         .............2.
Sibbaldia procumbens                                   .............2.
Taraxacum sect. Alpina                                 .............+2
Alchemilla crinita                                     ..............2
Cirsium spinosissimum                                  ..............4
Phleum rhaeticum                                       ..............r
Dicranum scoparium                                  ml .......r.......
Paraleucobryum enerve                                  .......+.......
Thamnolia vermicularis var. vermicularis               .......r.r+....
Cetraria islandica ssp. islandica                      .........r.r...
Tortella tortuosa                                      ..........r....
END TABLE
