BEGIN HEAD
plot                                          bbbbb
                                              bbbbb
                                              00000
                                              11234
                                              abaaa
richness                                      22223
                                              67835
                                                   
END HEAD
BEGIN TABLE
Frangula alnus                             sl ..+.1
Acer pseudoplatanus                           ....1
Alnus incana                                  ....1
Berberis vulgaris                             ....1
Fraxinus excelsior                            ....4
Prunus padus ssp. padus                       ....2
Rhamnus cathartica                            ....+
Rosa canina s.str.                            ....+
Sorbus aucuparia ssp. aucuparia               ....1
Viburnum opulus                               ....1
Achillea millefolium agg.                  hl +1...
Aegopodium podagraria                         11...
Alchemilla sp.                                +1++.
Alopecurus pratensis                          ++...
Anthoxanthum odoratum s.str.                  +11..
Bellis perennis                               +....
Cardamine pratensis s.str.                    ++...
Carum carvi                                   1....
Cerastium holosteoides                        ++...
Crepis biennis                                +....
Dactylis glomerata ssp. glomerata             21..1
Festuca pratensis s.str.                      21...
Festuca rubra                                 21...
Heracleum sphondylium ssp. sphondylium        +....
Leontodon hispidus ssp. hispidus              ++...
Pimpinella major var. major                   +....
Plantago lanceolata                           +1...
Poa trivialis                                 1+...
Ranunculus acris ssp. acris                   22...
Ranunculus repens                             11..+
Rumex acetosa                                 22...
Taraxacum sect. Ruderalia                     22...
Trifolium pratense ssp. pratense              22...
Trifolium repens ssp. repens                  11...
Trisetum flavescens ssp. flavescens           33...
Veronica chamaedrys ssp. chamaedrys           +..+1
Cynosurus cristatus                           .+...
Lathyrus pratensis ssp. pratensis             .+...
Leucanthemum ircutianum                       .+...
Phleum pratense s.str.                        .1...
Poa pratensis                                 .+...
Stellaria graminea                            .+...
Veronica serpyllifolia ssp. serpyllifolia     .+...
Alnus incana                                  ..+.+
Arabidopsis halleri                           ..++1
Carex davalliana                              ..3..
Carex echinata                                ..+..
Carex flacca ssp. flacca                      ..1.+
Carex flava var. flava                        ..+.+
Carex nigra                                   ..2..
Carex pallescens                              ..+..
Carex panicea                                 ..2..
Cirsium oleraceum                             ..++.
Cirsium palustre                              ..+++
Deschampsia cespitosa                         ..++2
Equisetum palustre                            ..++.
Filipendula ulmaria                           ..122
Frangula alnus                                ..+.+
Galium album s.str.                           ..+++
Galium palustre ssp. palustre                 ..+..
Galium uliginosum                             ..+..
Glechoma hederacea                            ..++.
Juncus effusus ssp. effusus                   ..1..
Luzula multiflora s.str.                      ..1..
Mentha longifolia                             ..12.
Molinia caerulea s.str.                       ..1+.
Potentilla erecta                             ..1..
Vaccinium myrtillus                           ..+.+
Valeriana dioica                              ..1+.
Equisetum telmateia                           ...+.
Iris sibirica                                 ...1.
Lamium album                                  ...+.
Ribes nigrum                                  ...2.
Rubus idaeus                                  ...31
Scirpus sylvaticus                            ...+.
Solidago canadensis                           ...1.
Stachys sylvatica                             ...+.
Urtica dioica ssp. dioica                     ...31
Vicia sepium                                  ...+.
Acer pseudoplatanus                           ....+
Angelica sylvestris ssp. sylvestris           ....+
Athyrium filix-femina                         ....+
Brachypodium sylvaticum                       ....2
Fragaria vesca                                ....+
Fraxinus excelsior                            ....1
Luzula luzuloides                             ....+
Maianthemum bifolium                          ....+
Petasites albus                               ....1
Phegopteris connectilis                       ....+
Poa nemoralis                                 ....+
Prunus padus ssp. padus                       ....+
Pteridium aquilinum                           ....1
Silene dioica                                 ....+
Solidago virgaurea ssp. virgaurea             ....+
Sorbus aucuparia ssp. aucuparia               ....+
END TABLE
