BEGIN HEAD
plot                                    0000000001111111111222222222
                                        1234567890123456789012345678
richness                                3343331311243433233322341341
                                        8621087063615100077273509607
                                                                    
END HEAD
BEGIN TABLE
Stellaria graminea                   hl r.rr+rr+r..+.rr...++.....rr.
Achillea millefolium agg.               r.r....+..r..r...r...rr...+.
Tragopogon orientalis                   rr.....r...rrr.+.rr...r..r+.
Trifolium montanum                      +...........................
Trifolium pratense                      2222+r12..12112.+22.+12+2+..
Trisetum flavescens                     2+.2.+22..22.1.22122.22.+22.
Avenula pubescens                       1.+.22.2..+1.+.2+222.12..12.
Betonica officinalis                    r+r.21.....+r..r............
Brachypodium pinnatum                   +....+.........1............
Briza media                             +2++21.....+++r+.++...+2....
Bromus erectus                          231+2+....+223.222++.+21.22.
Carex montana                           +...........+...............
Centaurea jacea                         +..2.......r.2...+r..+...22.
Cirsium pannonicum                      2.r.........................
Colchicum autumnale                     +1r.++.....+1+...+2...2+.1+.
Dactylis glomerata                      ++++12++..++r1r122+2.22+.+++
Daucus carota                           r..r...+..+..r..............
Filipendula vulgaris                    221.22.....22+r+rr2...r+.r..
Galium album s.str.                     +r1+..+1..21.1r.2r+2.121r++1
Galium boreale                          +r..22.....r+.....+...2.....
Galium pumilum                          rr..........r.....r.......r.
Galium verum                            +.r..+.........+............
Holcus lanatus                          ++221112..2+2+12+.222.22.+.1
Knautia arvensis                        rr.........r.2..rr+..r....+.
Lathyrus pratensis                      +++r++1rrrr+++rr.+.2+.+2.rr.
Leontodon hispidus                      1+r2......2+r+.2.+12..+2.+2.
Leucanthemum ircutianum                 +......+.....+...r.......r+.
Lotus corniculatus                      rrr+rr+r..+rr+2r.rr.r.r+.rr.
Luzula campestris                       rr........................r.
Anthoxanthum odoratum                   +.++++.+..1+++++.+1r+..+r++.
Ononis spinosa                          r....r......+..r............
Plantago lanceolata                     11+++r++..r+r+.2+11r.++1+r+.
Arrhenatherum elatius                   +..1...2..21.+..2111.3...++.
Potentilla alba                         2+.........22..1............
Primula veris                           rr...........r............r.
Ranunculus bulbosus                     +r..r..r...r.r.r+r...r+..rr.
Rhinanthus minor                        +rr+.......r.+...2+..rrr.r1.
Rumex acetosa                           r..r+r.+...r.r...r2...rrrr..
Carex flacca                            .11.....2...1.2...r.+..+...2
Carex pallescens                        .+2.22.....12r22..+....++...
Carex panicea                           .++.2+......2.2.....2.+....2
Carex tomentosa                         .r+.r+..+..+2.1.....2......3
Ajuga reptans                           .rr..r............r....r....
Cirsium arvense                         .r..........................
Cynosurus cristatus                     .rr2+++.....r.+++.+21.++1++.
Euphorbia verrucosa                     .1..........................
Fragaria viridis                        .1.........r...........+.r..
Fraxinus excelsior                      .rr.rr.............r...r...1
Plantago media                          .r...............r........r.
Ranunculus acris                        .r2.+22rr+212r2+..2+1122.2++
Rosa canina s.lat. (= agg.)             .+r..........+.....r........
Silaum silaus                           ..r...................r..2+.
Trifolium repens                        ..+2r+++..+rrrrr....r.+.2+..
Agrimonia eupatoria                     ..r.........................
Carex hirta                             ..2..+.r12..+.+...+.2.......
Festuca arundinacea                     ..2.....+2....++...2+.2+...1
Festuca pratensis s.str.                ..r2..21..++2.+.22.2.22222+.
Alopecurus pratensis                    ..+.2231.r22....1.+2..2232r.
Juncus effusus                          ..+.....+.....r.....+..r...1
Lysimachia vulgaris                     ..2.....3...................
Potentilla erecta                       ..r..r......r..r..r.........
Prunella vulgaris                       ..r....r..+......r..........
Ranunculus auricomus                    ..r.rr......................
Ranunculus repens                       ..r2..........r....r..+.1...
Calamagrostis epigejos                  ...2......r.........+...r...
Campanula patula                        ...rr........+..............
Cerastium holosteoides                  ...r......+r..r...r.rr.r..r.
Festuca rubra                           ...+++.........+..2+...2.2+.
Taraxacum officinale agg.               ...1..rrr......r...+...1r...
Leucanthemum vulgare                    ...1..................r.....
Lotus pedunculatus                      ...r........................
Lychnis flos-cuculi                     ...+.........r.....r....+...
Poa angustifolia                        ...+..++.r++..r.++.....2+.++
Crataegus monogyna                      ....r.......................
Luzula multiflora s.str.                ....+r.....rr+.+.......r....
Veronica vindobonensis                  .....r.....r.r...rrr.rrr.rr.
Viola canina                            .....r....................r.
Lysimachia nummularia                   .....r..r+..r..r........r..+
Sanguisorba officinalis                 .....r................+.....
Poa trivialis                           ......2.............22222...
Veronica chamaedrys                     .......r..r.................
Vicia angustifolia                      .......r.........r..........
Pastinaca sativa                        .......r..+.................
Plantago major                          .......r....................
Carex leporina                          ........11..................
Carex otrubae                           ........+3..................
Equisetum arvense                       ........rr.r..r.............
Glechoma hederacea                      ........r.......r.rrr..r.r.+
Juncus inflexus                         ........2+..........2.......
Epilobium parviflorum                   .........r..................
Rumex sanguineus                        .........r..................
Geum urbanum                            ..........r.....r..r...r....
Vicia sepium                            ...........r.+..2+...+...+..
Cruciata laevipes                       ...........r.........r...r1.
Quercus cerris                          ...........r................
Lathyrus pannonicus ssp. pannonicus     ............1...............
Molinia caerulea                        ............2.+.....+.......
Phragmites australis                    ............+...............
Potentilla reptans                      ............r.1....+2..r...2
Viola odorata                           .............+..............
Convolvulus arvensis                    .............r..............
Euphorbia cyparissias                   .............+...r..........
Heracleum sphondylium                   .............r...r...2......
Origanum vulgare                        .............r..............
Vicia cracca                            ..............r.............
Carex sylvatica                         ..............2.............
Cirsium canum                           ..............2.....+.r.r..1
Crepis biennis                          ...............+++.+...+..r.
Silene latifolia                        .................r..........
Viola hirta                             .................r..........
Carduus nutans                          .................r..........
Salvia pratensis                        .................2........2.
Allium carinatum                        ..................r.........
Fragaria vesca                          ..................r.........
Carex spicata                           ...................r........
Alchemilla monticola                    ...................r........
Geranium pusillum                       ...................r........
Rumex crispus                           ...................r........
Trifolium dubium                        ....................r.......
Elymus repens                           ....................2..r....
Juncus articulatus                      ....................+.......
Juncus compressus                       ....................+.......
Lysimachia nemorum                      ....................+.......
Galium aparine                          .....................r......
Pimpinella major                        .....................rr..r..
Euonymus europaeus                      .......................r....
Leontodon autumnalis                    .......................+....
Agrostis capillaris                     .........................2..
Festuca rupicola                        ..........................r.
Picris hieracioides                     ..........................r.
Potentilla pusilla                      ..........................r.
Carex distans                           ...........................2
Potentilla anserina                     ...........................2
END TABLE
