BEGIN HEAD
plot                                               mmmmmmmmmmmmm
                                                   ddddddddddddd
                                                   0000000001111
                                                   1234567890123
richness                                           4333432321111
                                                   9540106440633
                                                                
END HEAD
BEGIN TABLE
Fraxinus excelsior                             tl1 2222122......
Sorbus aria s.str.                                 1.1...2......
Tilia × vulgaris (=T. cordata × platyphyllos)      22...........
Acer pseudoplatanus                                .2...........
Fagus sylvatica                                    ..2..1.2.....
Tilia platyphyllos                                 ...32..3.....
Picea abies                                        .......2.....
Fraxinus excelsior                             tl2 22.1.31....2+
Sorbus aria s.str.                                 2122212......
Tilia × vulgaris (=T. cordata × platyphyllos)      .+...........
Fagus sylvatica                                    ...1..1255555
Hedera helix                                       ...1.........
Sorbus aucuparia ssp. aucuparia                    ....1........
Taxus baccata                                      ....+........
Picea abies                                        .....+..1111.
Salix caprea                                       .....+.......
Larix decidua                                      ........+....
Clematis vitalba                                   ..........+..
Corylus avellana                                sl 43222221.....
Frangula alnus                                     +............
Picea abies                                        rr+.r.r...+.r
Sorbus aria s.str.                                 ++.1.++......
Clematis vitalba                                   .+...........
Sambucus nigra                                     .r...........
Berberis vulgaris                                  ..++.........
Cornus sanguinea s.lat.                            ..1++........
Euonymus latifolius                                ..++...r.....
Fagus sylvatica                                    ..1.+..1.2+12
Rhamnus cathartica                                 ..+..........
Staphylea pinnata                                  ..32+..+.....
Tilia × vulgaris (=T. cordata × platyphyllos)      ..+..........
Viburnum lantana                                   ..+..........
Acer platanoides                                   ...+.........
Cotoneaster horizontalis                           ...r.........
Fraxinus excelsior                                 ....+1.+.....
Lonicera xylosteum                                 .....+..r....
Hippocrepis emerus ssp. emerus                     .......+.....
Taxus baccata                                      .......+.....
Ulmus glabra                                       .......r.....
Acer platanoides                                hl +..++...+..+.
Acer pseudoplatanus                                ++..+..++.+++
Adenostyles alpina                                 r+...........
Anthericum ramosum                                 +++..++......
Aposeris foetida                                   ++...........
Buphthalmum salicifolium                           +....++......
Campanula trachelium                               +......+.....
Carduus defloratus ssp. viridis                    +r+..++......
Cardamine enneaphyllos                             +......+.....
Carex alba                                         22212.111.1.r
Carex digitata                                     1+.+1.++++1rr
Carex humilis                                      322..34......
Carpinus betulus                                   ++...........
Cephalanthera longifolia                           ++++++.......
Cephalanthera rubra                                r............
Clematis vitalba                                   +++++2++.....
Convallaria majalis ssp. majalis                   1+2+++1.r....
Corylus avellana                                   ++..+++......
Cyclamen purpurascens                              1+++++++1+r+1
Daphne mezereum                                    +++..+.......
Euonymus latifolius                                r.+1...+r....
Fagus sylvatica                                    +.++++.+++++1
Frangula alnus                                     +............
Galium sylvaticum s.str.                           +.++2..+.....
Gymnocarpium robertianum                           r............
Hedera helix                                       +..+...+.....
Helleborus niger                                   22+....+2....
Hepatica nobilis                                   1+++++.+1221+
Hieracium murorum                                  ++...........
Hippocrepis emerus ssp. emerus                     +r++++.+.....
Knautia maxima ssp. maxima                         +r...+.......
Lilium martagon                                    +............
Lonicera xylosteum                                 r..+1+.+.....
Melica nutans s.str.                               ++.++.++.....
Mercurialis perennis s.str.                        +......+21+11
Picea abies                                        +.......++.r+
Pimpinella major var. major                        +............
Polygonatum odoratum                               r.++.........
Salvia glutinosa                                   ++...1.......
Sesleria caerulea s.str.                           +.+..++......
Solidago virgaurea ssp. virgaurea                  ++.....++....
Sorbus aria s.str.                                 ++.+.++......
Tilia × vulgaris (=T. cordata × platyphyllos)      +............
Ulmus glabra                                       +......+.....
Valeriana tripteris                                +......+.....
Viburnum lantana                                   +....r.......
Viburnum opulus                                    r.r..r.......
Vincetoxicum hirundinaria                          121+222......
Calamagrostis varia                                .131322......
Cotoneaster horizontalis                           .r...........
Fraxinus excelsior                                 .+++++++++++.
Laserpitium latifolium ssp. latifolium             .r...........
Molinia caerulea agg.                              .1...........
Neottia nidus-avis                                 .r...........
Polygala chamaebuxus                               .11.2++......
Cornus sanguinea s.lat.                            ..+.+1+......
Epipactis helleborine s.lat.                       ..+..........
Erica carnea                                       ..+.r.+......
Inula conyzae                                      ..+..........
Rhamnus cathartica                                 ..+++........
Staphylea pinnata                                  ..11+..+.....
Asplenium ruta-muraria                             ...++........
Asplenium trichomanes ssp. quadrivalens            ...+...1..+.r
Fragaria vesca                                     ...+++.......
Tilia platyphyllos                                 ...+.........
Berberis vulgaris                                  ....+........
Galium album s.str.                                ....+........
Geranium robertianum s.str.                        ....r.....r..
Hieracium bifidum                                  ....+.++.....
Hypericum perforatum                               ....+........
Origanum vulgare ssp. vulgare                      ....+2+......
Potentilla caulescens ssp. caulescens              ....r........
Rosa arvensis                                      ....+........
Rubus idaeus                                       ....+........
Rubus sect. Rubus                                  ....1...r.r..
Sorbus aucuparia ssp. aucuparia                    ....+........
Vaccinium myrtillus                                ....1........
Pteridium aquilinum                                .....1+......
Kernera saxatilis                                  ......+......
Thymus praecox ssp. praecox                        ......+......
Asplenium viride                                   .......+.....
Dryopteris dilatata                                .......r...r.
Lactuca muralis                                    .......+.....
Moehringia muscosa                                 .......+.....
Polystichum aculeatum s.str.                       .......+..r..
Polypodium vulgare s.str.                          .......+.....
Taxus baccata                                      .......+.....
Anemone nemorosa                                   ........+....
Asarum europaeum ssp. europaeum                    ........+....
Cardamine trifolia                                 ........++.1+
Dryopteris filix-mas s.str.                        ........rrr.r
Euphorbia amygdaloides ssp. amygdaloides           ........r....
Galeobdolon montanum                               ........11+r+
Viola reichenbachiana                              ........+..r.
END TABLE
