BEGIN HEAD
plot                                               mmmmmmmmmmmmmmmmmmmmmmmmm
                                                   ddddddddddddddddddddddddd
                                                   0000000001111111111222222
                                                   1234567890123456789012345
richness                                           433343232111132122231 111
                                                   9540106440633768559038047
                                                                            
END HEAD
BEGIN TABLE
Fraxinus excelsior                             tl1 2222122........11.....1..
Sorbus aria s.str.                                 1.1...2..................
Tilia × vulgaris (=T. cordata × platyphyllos)      22.......................
Acer pseudoplatanus                                .2............223421.....
Fagus sylvatica                                    ..2..1.2.....532..2..52..
Tilia platyphyllos                                 ...32..3.................
Picea abies                                        .......2.........2332.2..
Ulmus glabra                                       .............2..2........
Carpinus betulus                                   ...............1.........
Larix decidua                                      ......................1..
Fraxinus excelsior                             tl2 22.1.31....2+1..+.1+++...
Sorbus aria s.str.                                 2122212..................
Tilia × vulgaris (=T. cordata × platyphyllos)      .+.......................
Fagus sylvatica                                    ...1..1255555444..21.24.5
Hedera helix                                       ...1...........1.........
Sorbus aucuparia ssp. aucuparia                    ....1....................
Taxus baccata                                      ....+....................
Picea abies                                        .....+..1111..4..12+11...
Salix caprea                                       .....+...................
Larix decidua                                      ........+.............1.+
Clematis vitalba                                   ..........+.........1+...
Acer pseudoplatanus                                .............+.1.2122.+..
Ulmus glabra                                       .............+1111..4.1..
Corylus avellana                                   ....................+....
Corylus avellana                                sl 43222221.....1.2311r3..++
Frangula alnus                                     +..................r.....
Picea abies                                        rr+.r.r...+.r.1++2...1..r
Sorbus aria s.str.                                 ++.1.++...........r......
Clematis vitalba                                   .+...........r......+....
Sambucus nigra                                     .r.......................
Berberis vulgaris                                  ..++.....................
Cornus sanguinea s.lat.                            ..1++....................
Euonymus latifolius                                ..++...r.................
Fagus sylvatica                                    ..1.+..1.2+121121+.++11.1
Rhamnus cathartica                                 ..+......................
Staphylea pinnata                                  ..32+..+.................
Tilia × vulgaris (=T. cordata × platyphyllos)      ..+......................
Viburnum lantana                                   ..+......................
Acer platanoides                                   ...+.....................
Cotoneaster horizontalis                           ...r.....................
Fraxinus excelsior                                 ....+1.+.................
Lonicera xylosteum                                 .....+..r.....r.........+
Hippocrepis emerus ssp. emerus                     .......+.................
Taxus baccata                                      .......+.................
Ulmus glabra                                       .......r.......+1.+.1....
Crataegus laevigata ssp. laevigata                 .............r...........
Prunus spinosa                                     .............r...........
Acer pseudoplatanus                                ...............r+.......1
Acer platanoides                                hl +..++...+..+......+......
Acer pseudoplatanus                                ++..+..++.+++1++..1+..r+.
Adenostyles alpina                                 r+.......................
Anthericum ramosum                                 +++..++..................
Aposeris foetida                                   ++.......................
Buphthalmum salicifolium                           +....++..................
Campanula trachelium                               +......+.................
Carduus defloratus ssp. viridis                    +r+..++..................
Cardamine enneaphyllos                             +......+.................
Carex alba                                         22212.111.1.r1r.r+22...r1
Carex digitata                                     1+.+1.++++1rr1+r..11.....
Carex humilis                                      322..34..................
Carpinus betulus                                   ++.......................
Cephalanthera longifolia                           ++++++.......r...........
Cephalanthera rubra                                r........................
Clematis vitalba                                   +++++2++.................
Convallaria majalis ssp. majalis                   1+2+++1.r................
Corylus avellana                                   ++..+++...........+....r+
Cyclamen purpurascens                              1+++++++1+r+11+2r.++r2++2
Daphne mezereum                                    +++..+.......rr...r+....r
Euonymus latifolius                                r.+1...+r...............r
Fagus sylvatica                                    +.++++.+++++1+++.+2.r+r++
Frangula alnus                                     +........................
Galium sylvaticum s.str.                           +.++2..+.................
Gymnocarpium robertianum                           r........................
Hedera helix                                       +..+...+.......+..++.....
Helleborus niger                                   22+....+2....2..........2
Hepatica nobilis                                   1+++++.+1221+2+...+1r..12
Hieracium murorum                                  ++.......................
Hippocrepis emerus ssp. emerus                     +r++++.+.................
Knautia maxima ssp. maxima                         +r...+...................
Lilium martagon                                    +........................
Lonicera xylosteum                                 r..+1+.+.....r...r......+
Melica nutans s.str.                               ++.++.++.....+..........r
Mercurialis perennis s.str.                        +......+21+112224112++++.
Picea abies                                        +.......++.r+............
Pimpinella major var. major                        +........................
Polygonatum odoratum                               r.++.....................
Salvia glutinosa                                   ++...1.......rr..r......r
Sesleria caerulea s.str.                           +.+..++..................
Solidago virgaurea ssp. virgaurea                  ++.....++................
Sorbus aria s.str.                                 ++.+.++............r.....
Tilia × vulgaris (=T. cordata × platyphyllos)      +........................
Ulmus glabra                                       +......+.....++..........
Valeriana tripteris                                +......+.................
Viburnum lantana                                   +....r...................
Viburnum opulus                                    r.r..r.......+...........
Vincetoxicum hirundinaria                          121+222..................
Calamagrostis varia                                .131322...........r......
Cotoneaster horizontalis                           .r.......................
Fraxinus excelsior                                 .+++++++++++.++++112r.r++
Laserpitium latifolium ssp. latifolium             .r.......................
Molinia caerulea agg.                              .1.......................
Neottia nidus-avis                                 .r.......................
Polygala chamaebuxus                               .11.2++..................
Cornus sanguinea s.lat.                            ..+.+1+..................
Epipactis helleborine s.lat.                       ..+......................
Erica carnea                                       ..+.r.+..................
Inula conyzae                                      ..+......................
Rhamnus cathartica                                 ..+++....................
Staphylea pinnata                                  ..11+..+.................
Asplenium ruta-muraria                             ...++....................
Asplenium trichomanes ssp. quadrivalens            ...+...1..+.r............
Fragaria vesca                                     ...+++...................
Tilia platyphyllos                                 ...+.....................
Berberis vulgaris                                  ....+....................
Galium album s.str.                                ....+....................
Geranium robertianum s.str.                        ....r.....r..............
Hieracium bifidum                                  ....+.++.................
Hypericum perforatum                               ....+....................
Origanum vulgare ssp. vulgare                      ....+2+..................
Potentilla caulescens ssp. caulescens              ....r....................
Rosa arvensis                                      ....+.............++.....
Rubus idaeus                                       ....+............+.1.....
Rubus sect. Rubus                                  ....1...r.r..+..+214.....
Sorbus aucuparia ssp. aucuparia                    ....+.............r+.....
Vaccinium myrtillus                                ....1....................
Pteridium aquilinum                                .....1+..................
Kernera saxatilis                                  ......+..................
Thymus praecox ssp. praecox                        ......+..................
Asplenium viride                                   .......+.................
Dryopteris dilatata                                .......r...r.r+r.+.......
Lactuca muralis                                    .......+.................
Moehringia muscosa                                 .......+.................
Polystichum aculeatum s.str.                       .......+..r...1+2r..+....
Polypodium vulgare s.str.                          .......+.................
Taxus baccata                                      .......+.................
Anemone nemorosa                                   ........+..........r.....
Asarum europaeum ssp. europaeum                    ........+....22211.++....
Cardamine trifolia                                 ........++.1+r22+212r1+1+
Dryopteris filix-mas s.str.                        ........rrr.r+112++..r...
Euphorbia amygdaloides ssp. amygdaloides           ........r................
Galeobdolon montanum                               ........11+r+2111222..r+.
Viola reichenbachiana                              ........+..r.2.........++
Angelica sylvestris ssp. sylvestris                .............r...........
Brachypodium sylvaticum                            .............1r.+1+2...r.
Carex flacca ssp. flacca                           .............r...........
Carex sylvatica ssp. sylvatica                     .............+r.++.1...+.
Dryopteris borreri                                 .............r1.1........
Galeopsis pubescens ssp. pubescens                 .............+...........
Impatiens glandulifera                             .............r..211......
Oxalis acetosella                                  .............+r..221.....
Polygonatum multiflorum                            .............+...........
Primula elatior s.str.                             .............+r..........
Actaea spicata                                     ..............r.r........
Asplenium scolopendrium ssp. scolopendrium         ..............r..........
Dryopteris carthusiana s.str.                      ...............r.........
Athyrium filix-femina                              ................1+.......
Galeopsis speciosa                                 ................r..r.....
Galium odoratum                                    ................22++.....
Lamium maculatum                                   ................+........
Phegopteris connectilis                            ................1+.......
Eupatorium cannabinum                              ..................r+...r.
Polygonatum verticillatum                          ..................r+.....
Quercus robur                                      ..................r......
Galium rotundifolium                               ...................r.....
END TABLE
