BEGIN HEAD
plot                                                 wwwwwwwwwwww
                                                     aaaaaaaaaaaa
                                                     000000000111
                                                     123456789012
richness                                             435254332443
                                                     944638856700
                                                                 
END HEAD
BEGIN TABLE
Acer pseudoplatanus                              tl1 4.2...2.....
Alnus incana                                         2...........
Fraxinus excelsior                                   1.2...1.....
Picea abies                                          1.2.........
Acer pseudoplatanus                              tl2 3.3.2.......
Picea abies                                          2.1...1.....
Prunus padus ssp. padus                              1...........
Abies alba                                           ..r.........
Alnus incana                                         ..2.22......
Fraxinus excelsior                                   ..2.2.+.....
Malus domestica                                      ..r.........
Acer platanoides                                     ....1.......
Betula pendula                                       ....1.......
Prunus avium s.lat.                                  ....1.......
Salix caprea                                         ....32......
Sorbus aucuparia ssp. aucuparia                      ....2.......
Ulmus glabra                                         ....1.......
Acer pseudoplatanus                               sl 2.3.113.....
Alnus incana                                         r.1.122+r...
Corylus avellana                                     2.2.222.....
Fraxinus excelsior                                   +.+.1.1.....
Prunus padus ssp. padus                              2.2...1.r...
Sambucus nigra                                       1.1.........
Sorbus aucuparia ssp. aucuparia                      r.+.111.....
Viburnum opulus                                      1.1.1.2r....
Abies alba                                           ..r.........
Acer platanoides                                     ..r.+.......
Euonymus europaeus                                   ..1.........
Picea abies                                          ..1.r.1.....
Salix myrsinifolia ssp. myrsinifolia                 ...r1321....
Betula pendula                                       ....r2......
Cornus alba s. propr. non auct.                      ....11......
Prunus avium s.lat.                                  ....r.......
Rosa tomentosa                                       ....r.......
Salix caprea                                         ....232.....
Sambucus racemosa                                    ....222.....
Ulmus glabra                                         ....r.......
Ribes rubrum                                         .....r......
Salix daphnoides ssp. daphnoides                     .......2....
Abies alba                                        hl r.r.........
Acer pseudoplatanus                                  ++++++1..r..
Actaea spicata                                       +...........
Ajuga reptans                                        ++1+111+..1.
Alnus incana                                         rr+.+++.....
Asplenium trichomanes ssp. quadrivalens              r...........
Brachypodium sylvaticum                              +.1r..+.....
Campanula trachelium                                 +.+.+r......
Cardamine trifolia                                   1....2......
Carex sylvatica ssp. sylvatica                       +.11111..1++
Clinopodium vulgare ssp. vulgare                     r...........
Corylus avellana                                     +.+...+.....
Cystopteris fragilis s.str.                          r...........
Daphne mezereum                                      r.+.........
Deschampsia cespitosa                                1112+121+...
Dryopteris carthusiana s.str.                        r.+..+......
Dryopteris filix-mas s.str.                          2.2.212.....
Epilobium montanum                                   r...r+..+...
Equisetum arvense                                    +213..+23...
Fraxinus excelsior                                   2+1r211.....
Galeobdolon montanum                                 1...........
Geranium robertianum s.str.                          1+1.211++...
Geum rivale                                          r+r++rr+++1.
Glechoma hederacea                                   r...........
Impatiens noli-tangere                               +.+.........
Impatiens parviflora                                 +...+.+.+...
Mercurialis perennis s.str.                          3.+.........
Oxalis acetosella                                    1.1.1.......
Paris quadrifolia                                    +.+...+.....
Phyteuma spicatum ssp. spicatum                      +.+.........
Picea abies                                          r...+++.....
Poa nemoralis                                        +...........
Polystichum aculeatum s.str.                         1.2r..1.....
Polygonatum verticillatum                            +...........
Primula elatior s.str.                               +++++++.++2+
Prunus padus ssp. padus                              2.2r++2.....
Pulmonaria officinalis s.str.                        +.+.........
Ribes rubrum                                         r.r.rr......
Rubus caesius                                        112+++312...
Rubus idaeus                                         +...222.....
Sambucus nigra                                       +.r.r.......
Senecio ovatus ssp. ovatus                           r.+.........
Sorbus aucuparia ssp. aucuparia                      r.+.+++.....
Stachys sylvatica                                    1r+.........
Taraxacum sect. Ruderalia                            r....+...21.
Veronica montana                                     r...++......
Viburnum opulus                                      +.1.+.1.....
Viola reichenbachiana                                r.+.........
Caltha palustris                                     .++....+....
Carex flacca ssp. flacca                             .2.1+++++++.
Carex flava var. flava                               .2.2....1...
Cirsium oleraceum                                    .1..++.....1
Equisetum palustre                                   .+........+.
Filipendula ulmaria                                  .++...+11++.
Galium album s.str.                                  .+...rr+++1+
Glyceria notata                                      .r.....r+...
