BEGIN HEAD
plot                                           000000000111111111122222222223333333
                                               123456789012345678901234567890123456
richness                                       313322213332222332233333443333323342
                                               190767937863657513348636356643553209
                                                                                   
END HEAD
BEGIN TABLE
Seseli hippomarathrum                       hl rr+..++....r+...r++r+r++r..++.r++r..
Aster linosyris                                2....rr.r.2+........1.r+.r+.2r+..+.r
Stipa capillata                                2.2..+....+..+........+12..++.21+2+.
Stipa joannis                                  2.2.r+2..22..++2++.....22+.....+....
Teucrium chamaedrys                            2.2++...r1+....rr.r.++.21+++2..2.+.1
Teucrium montanum                              +22r.2+....+2...22r.+r+22..2..+.2+.+
Thymus praecox                                 +.....+.....r.......2+2.......r.....
Bothriochloa ischaemum                         2+.2....221....++2....+122.+..1.....
Carex humilis                                  +.1+.22..22+232..21.222222.22.2222..
Carex liparocarpos                             +r+..+..........12.r..+........++...
Centaurea stoebe s.lat.                        rr...r.......r..rr..rr.rr..rr...rr..
Dorycnium germanicum                           r.2+....r+.+2+222.22222222222+222222
Euphorbia seguieriana                          +r2r..+..+..r++++..r+21+1+.+.r.12+r.
Festuca rupicola                               2.22222.1222222222+122+2222.2.22222.
Festuca stricta                                +2..............+...2+.....2...++...
Globularia punctata                            +12r.2r..r.++1rr.1r+1+221r.++.++2..r
Helianthemum canum                             222r.2.1.+++22..21.r222+...+r.++1..r
Helianthemum ovatum                            +.++r.+..rr...rr+...r..+rr.rrrr.r.rr
Alyssum montanum                               r1+..122....r..+.....r..r.......r...
Hesperis tristis                               r...r.....................r......r.r
Hippocrepis comosa                             r...................................
Inula oculus-christi                           2...r....2r.................2.......
Linum tenuifolium                              r+...rr.r........+.r+1++rr.+rrr+rr.r
Lotus corniculatus                             r..r...............r...r.....r.....r
Melica ciliata                                 +........++..+.2..+.2+2.2..r1+22r2.+
Anthyllis vulneraria                           ++...+1..........+..r2.r....+rr2.+r.
Ornithogalum pannonicum                        r.r..rrr.............r..............
Orobanche gracilis                             r...................rrrr.....r.r....
Reseda lutea                                   r........r..........................
Salvia pratensis                               r..2+...1r.....1.........+r.r.......
Sanguisorba minor                              r.2+.r2+r12++++12rrr++r+r.rrrrr++.+r
Thymus kosteleckyanus                          .2..............2+.+...r..r.+..+.r..
Fumana procumbens                              .+...rr..........r..r.r....+..r.....
Galium lucidum                                 .r+..+r.....r...+.rr+rrr+r.r..+rr+.r
Linum austriacum                               .rrr.r+..r...r.....rr..r............
Minuartia setacea                              .+....+2............+rr....r........
Potentilla incana                              .21r.211r+r..+..22.r2222+..rr..+2+..
Scabiosa ochroleuca                            .rrr.rrr.r.r....r..r..r..r......rrr.
Astragalus austriacus                          ..+r..+..r...+..r+r.r+rrr...rr1r.r..
Tephroseris integrifolia ssp. integrifolia     ..r.................................
Thymus pulegioides                             ..2..2.1.+..........................
Cerastium glutinosum                           ..rr.r.r............................
Festuca pseudovina                             ..+.r........+......................
Allium sphaerocephalon                         ..r......r..........r..r......rr....
Hypericum perforatum                           ..r.......r..r...rrr....rr......rr..
Koeleria macrantha                             ..2.......+.....+.r.........+.......
Linaria genistifolia                           ..+...............r.r...............
Medicago falcata                               ..r.+...+.+.....+r...r..rr+..+....++
Seseli annuum                                  ...r..................r.............
Stachys recta                                  ...+...rr+r..r.+.+.rr.rr.r2rr.r.....
Taraxacum sect. Ruderalia                      ...r................................
Trinia glauca                                  ...r.r....r..r.r.....+rr............
Veronica prostrata                             ...rr...............................
Viola hirta                                    ...r....+...........................
Bromus erectus                                 ...32.+..2....322143+..2..+.232+.+24
Centaurea scabiosa                             ...r....+..rr.+2...rr.r..r+..r...22.
Chamaecytisus ratisbonensis                    ...+....r.....2.........+...........
Crataegus monogyna                             ...+...............+.....1+..+r....r
Dactylis glomerata                             ...+....r.....r+.........r...+....2.
Eryngium campestre                             ...rr...+.+.....r.rr....r++r........
