BEGIN HEAD
plot                                         eeeeeeeeeeeeeeeeeeeeeeeeeeeeee
                                             pppppppppppppppppppppppppppppp
                                             aaabbbcccccccdddddddeeeeefffff
                                             123123123456712345671234512345
richness                                     112111112112111111111122 1211 
                                             542584365643069856804742992749
                                                                           
END HEAD
BEGIN TABLE
Picea abies                              tl1 323445333....444....3....44...
Larix decidua                                +1r..+2++......+..........+...
Pinus cembra                                 ......+.......................
Picea abies                              tl2 21....21+.....................
Picea abies                               sl ++.1.1++1....+++....2.........
Larix decidua                                ........r................+....
Rhododendron ferrugineum                     ........r.....................
Vaccinium vitis-idaea                     hl 222+1+211....+1++...2rr..1....
Avenella flexuosa                            22+2+1211....222....2....2+...
Luzula luzuloides                            +121+2++1....111....+....++...
Vaccinium myrtillus                          321322323....333....3....32...
Homogyne alpina                              +.11+++r1....211....+....++...
Luzula pilosa                                1+.++..++.....+..........+....
Maianthemum bifolium                         +.2.1...1.....11....+....++...
Pteridium aquilinum                          +.++....+.....1.....+.........
Calamagrostis villosa                        ..+....+.......2..............
Oxalis acetosella                            ..+++2..+....1.1.........12...
Melampyrum sylvaticum s.str.                 ..1++...2....1+..........++...
Lycopodium annotinum                         ..+.1...r....r.+.........rr...
Gymnocarpium dryopteris                      ..1..+..r....r............1...
Listera cordata                              ..r..+....................2...
Sorbus aucuparia s.lat.                      ..+..........++...............
Athyrium filix-femina                        ..r.....r.................+...
Hieracium sp.                                ..+.....+.....................
Luzula sylvatica s.lat.                      ..+...........................
Picea abies                                  ...1rr.r.....+......1.........
Veronica sp.                                 ....+...+.....+...............
Potentilla erecta                            ....+....1+1+..+2+1+.211+.r+++
Phyteuma betonicifolium                      ........r............r........
Ajuga pyramidalis                            ........r.....................
Nardus stricta                               ........1.....................
Solidago virgaurea ssp. virgaurea            ........r.....................
Menyanthes trifoliata                        .........222+...22+...+1r..12.
Valeriana dioica                             .........11+....1+2r.++1...1+.
Carex nigra                                  .........2+2....212..222...2+.
Dactylorhiza majalis s.lat.                  .........r1r....1++..+++r..1..
Willemetia stipitata ssp. stipitata          .........11+....1r1..221r..2..
Carex panicea                                .........211....11...++1...++.
Eriophorum latifolium                        .........++++....11+...++...11
Trichophorum cespitosum ssp. cespitosum      .........1+24....2.4....4..124
Parnassia palustris                          .........r++.....+.+.+r+.2....
Anthoxanthum odoratum s.str.                 .........1.+......2..2+1...2..
Cardamine pratensis agg.                     .........+.+....1....+++...+..
Carex oederi                                 .........+++.....+.....+....+.
Deschampsia cespitosa                        .........+.............+......
Viola palustris                              .........+............r.......
Equisetum palustre                           ..........1+.....21..11+...+1.
Carex davalliana                             ..........12.....2+....2...2+.
Luzula multiflora s.str.                     ...........+....2.1+.21+...+..
Persicaria bistorta                          ...........+....2.1..1++...2..
Bartsia alpina                               ...........++...1..+.1+......+
Lychnis flos-cuculi                          ...........r......+...r+...r..
Pinguicula vulgaris                          ...........+.......+....r...rr
Alchemilla sp.                               ...........r....2.r..r........
Cirsium palustre                             ............+.....r.........rr
Polygala amarella                            ............+.....r+..+.......
Carex sp.                                    ............1......+..........
Leontodon hispidus s.lat.                    ............r.................
Pinus cembra                                 ..............r...............
Carex paniculata ssp. paniculata             ................1......+......
Trifolium pratense ssp. pratense             ................1.............
Tofieldia calyculata                         .................rr...++r.....
Carex limosa                                 .................2....+....+2.
Valeriana officinalis s.lat.                 .................r............
Galium uliginosum                            ..................r...........
Phyteuma orbiculare s.str.                   ......................r.......
Potentilla aurea                             ......................+.......
Eriophorum angustifolium                     ........................1....2
Molinia caerulea agg.                        .............................2
Equisetum sylvaticum                         .............................r
undetermined bryophyte(s)                 ml 22.322...4552.........24....3.
Hylocomium splendens                         22221+322....323....2....33...
Pleurozium schreberi                         +1.1..122....12+....2....++...
Dicranum sp.                                 22222++2......11....2.....+...
Rhytidiadelphus sp.                          +12.2..+.....121....1....12...
Sphagnum sp.                                 .+.....+...+.1......+442.+22..
Leucobryum glaucum                           .+............................
Polytrichum sp.                              ...1++122....212....2....+1...
Bazzania trilobata                           ......+1......1+.........1+...
Ptilium crista-castrensis                    ..........................+...
END TABLE
