BEGIN HEAD
plot                                                    ssssssssssssssssssss
                                                        ffffffffffffffffffff
                                                        00000000011111111112
                                                        12345678901234567890
richness                                                54344725465656565433
                                                        08739380077099000799
                                                                            
END HEAD
BEGIN TABLE
Acer pseudoplatanus                                 tl1 2.2.................
Fraxinus excelsior                                      332422.2..1.1.211.2.
Tilia platyphyllos                                      22333.334.22......2.
Fagus sylvatica                                         .2..2.22.21.322.....
Viscum album s.str.                                     ..+....++.+.....11..
Acer platanoides                                        ....1.1.............
Quercus petraea s.lat.                                  .....2...22.23.2.222
Tilia × vulgaris (=T. cordata × platyphyllos)           ..........2.2.2..332
Carpinus betulus                                        ...........12.......
Tilia cordata                                           ..............2.....
Acer platanoides                                    tl2 1..2................
Acer pseudoplatanus                                     2...12122.....2112+1
Corylus avellana                                        +1..................
Fagus sylvatica                                         2..2122.22..22.22..2
Fraxinus excelsior                                      2222.+.21..1.221.2..
Hedera helix                                            +.......+..........+
Tilia platyphyllos                                      +2212.2.2..2........
Carpinus betulus                                        ....1......3.11..22.
Ulmus glabra                                            ....+......2+....+..
Tilia × vulgaris (=T. cordata × platyphyllos)           .....2....2.122...22
Tilia cordata                                           .....2...1.1.11..1..
Picea abies                                             ......+.............
Viscum album s.str.                                     ........+.+..++.+..+
Quercus petraea s.lat.                                  .........1..1......2
Sorbus aria s.str.                                      .........11+1.+..2..
Taxus baccata                                           .........1.2........
Acer platanoides                                     sl 11+1........+.......
Corylus avellana                                        121211.1++22+2321211
Euonymus latifolius                                     1+.++......+.....+..
Fraxinus excelsior                                      ++++.+++++..1+.1+...
Hedera helix                                            +...+...............
Staphylea pinnata                                       2112+...+..+........
Tilia platyphyllos                                      11+++..++..1........
Acer pseudoplatanus                                     .2.1.+.......+.1....
Clematis vitalba                                        .++2...+...++.+.+...
Cornus sanguinea s.lat.                                 .+...+.+.++++1......
Fagus sylvatica                                         .+.+...+.++.1+.++...
Lonicera xylosteum                                      .+...+......+++.....
Sorbus aucuparia ssp. aucuparia                         .r.......+..........
Ulmus glabra                                            .+..+......++..+....
Rhamnus cathartica                                      ..+..+...+++++++....
Carpinus betulus                                        ....+..r...2...+++1+
Euonymus europaeus                                      ....rr..............
Juglans regia                                           ....r...............
Crataegus laevigata ssp. laevigata                      .....r..............
Crataegus monogyna                                      .....+.......+1..r..
Frangula alnus                                          .....+...1...+..++..
Ligustrum vulgare                                       .....+...+++1.1+.+.+
Rosa arvensis                                           .....+.....+........
Rosa canina s.str.                                      .....+...r+11+2+++++
Rosa micrantha                                          .....r....+...+.+++.
Sorbus aria s.str.                                      .....+...1++1+.++.+.
Tilia × vulgaris (=T. cordata × platyphyllos)           .....+......1.......
Amelanchier ovalis                                      .........+.+.+......
Cotoneaster tomentosus                                  .........+.r........
Prunus avium s.lat.                                     .........r..........
Rosa pendulina                                          .........+..+.......
Viburnum lantana                                        .........r..........
Berberis vulgaris                                       ...........+.+......
Taxus baccata                                           ...........1........
Rosa tomentosa                                          .............+...r..
Tilia cordata                                           .............+......
Acer platanoides                                     hl +1+1+...+.+.+r.+....
Acer pseudoplatanus                                     21+1++1.+..++1+1++.+
Arabis sagittata                                        r...................
Asarum europaeum ssp. europaeum                         2..+.+.......+......
Brachypodium sylvaticum                                 +.1++++1+.++1+++++..
Campanula trachelium                                    ++11++1++.r1+++1++..
Cardamine bulbifera                                     +..++...............
Cardamine enneaphyllos                                  111+..r.r...........
Carex alba                                              +23331.1.+.++++22.++
Carex digitata                                          ++++++...+++++.+++..
Clematis vitalba                                        ++12++122.+1+++22+++
Convallaria majalis ssp. majalis                        ++++++...1...+......
Cornus sanguinea s.lat.                                 +...++.+.++++1.++..+
Corylus avellana                                        11++++.++.++++++++..
Cyclamen purpurascens                                   1+.+++++r++1++++++.+
Dryopteris carthusiana s.str.                           +...................
Euonymus europaeus                                      +r............r.....
Euonymus latifolius                                     1+.+++.....++++r.+..
Euphorbia amygdaloides ssp. amygdaloides                +.r.+++++...+++.1.++
Euphorbia dulcis                                        +++++++...+.........
Fagus sylvatica                                         ++.+.++++++.+..r+...
Fraxinus excelsior                                      +++++2++1++++1++++++
Galeobdolon montanum                                    222.+..++...........
Galeopsis sp.                                           +...................
Galium sylvaticum s.str.                                +++.+2.1+1.121+1+.+.
Geranium robertianum s.str.                             +..+...++...........
Hedera helix                                            +..+++rr+.+2.+++.+.+
Hepatica nobilis                                        2211++..++.++++++.+.
Lactuca muralis                                         r.....+++..r...+.+..
Laserpitium latifolium ssp. latifolium                  r.r..+...++..+...r..
Listera ovata                                           +...................
Melica nutans s.str.                                    ++.+.+...++1..+..+..
Mercurialis perennis s.str.                             +1+11.++.+.r.r.+..r.
Moehringia muscosa                                      +++...++1...........
Picea abies                                             r..............r.+..
Polygonatum multiflorum                                 +...................
Polygonatum odoratum                                    r+++++...r+.+++r....
Prenanthes purpurea                                     ++1+1+...++r+++++..+
Pulmonaria officinalis s.str.                           ++.+.r..............
Quercus petraea s.lat.                                  rr.rr+...+..++.+r...
Rosa arvensis                                           +..+.1r.+..+.++..211
Rubus caesius                                           1......2............
Salvia glutinosa                                        2+1++++21++1++2+1+++
Solidago virgaurea ssp. virgaurea                       ++++1+..r++1++.+..+.
Staphylea pinnata                                       2111+...+.r.........
Tilia platyphyllos                                      1++1+.r++r.+........
Ulmus glabra                                            +++.+.r+.r.+++.++...
Vincetoxicum hirundinaria                               ++1++1111r1111112122
Viola alba s.lat.                                       r...................
Viola mirabilis                                         r+r+................
Ajuga reptans                                           .+.++r..+.+....1....
Aquilegia atrata                                        .+..r..1............
Asplenium viride                                        .r..................
Calamagrostis varia                                     .+..+1.2+11+22223112
Cephalanthera damasonium                                .r.r................
Daphne mezereum                                         .+...+....+..r.++.r+
Fragaria moschata                                       .r..................
Frangula alnus                                          .r...+...++....r....
Galium album s.str.                                     .r.....+1.+.........
Gymnocarpium robertianum                                .+..................
Lonicera xylosteum                                      .+..++...+.+1++..+..
Sorbus aria s.str.                                      .+...+...++.++++++++
Sorbus aucuparia ssp. aucuparia                         .r.......+..+.......
Valeriana tripteris                                     .r.......+.+........
Viburnum lantana                                        .r.........+........
Buphthalmum salicifolium                                ..r..+.+.11+12122+++
Carduus defloratus ssp. viridis                         ..r.r1r+++1r++1+2+++
Cephalanthera longifolia                                ..rr++.r.++..++.....
Eupatorium cannabinum                                   ..+...122...++..+...
Inula conyzae                                           ..r....r...r........
Neottia nidus-avis                                      ..r.....r...........
Pimpinella major var. major                             ..+..+.+............
Rhamnus cathartica                                      ..+..+...+++++1+++.+
Asplenium ruta-muraria                                  ...r.r..r+++++r+++.+
Bromus benekenii                                        ...r...+....+.......
Campanula rapunculoides ssp. rapunculoides              ...1...11..+...+....
