BEGIN HEAD
plot                                                     00000000011111111112222222222
                                                         12345678901234567890123456789
altitude                                                 22222222222222222222222222222
                                                         45554755555444434433544412374
                                                         38337295420114072069605199906
                                                         00000000000000000500005500005
                                                                                      
block                                                    22332211131111111111132222323
                                                                                      
cover                                                    98888988799769888989999889989
                                                         55005000000050005005000500005
                                                                                      
pH                                                       54554444444545454564444564353
                                                         14859271322427548920864150754
                                                         14493828033828552242525763534
                                                                                      
slope                                                    21  2343 12211  21  1 213322 
                                                         57535705555005530073557500507
                                                                                      
richness                                                 32333333222223433322223242241
                                                         32405336959723145859970942516
                                                                                      
END HEAD
BEGIN TABLE
Alectoria ochroleuca                                  0l +........................+...
Arenaria ciliata                                         +...+.........+.+..........+.
Campanula scheuchzeri                                    +..++1++..++.++.1++........++
Carex aterrima                                           +..+....................+....
Carex curvula subsp. curvula                             123222+3334344342333232223++3
Carex rupestris                                          1......+.......+...........+.
Carex sempervirens subsp. sempervirens                   2..1.1.2+2.++23.321....22....
Cetraria islandica subsp. islandica                      211.21.+.+.........+1.1.+++++
Cladonia arbuscula s.lat.                                1+..11................1++2.+.
Dianthus glacialis                                       +.+..........................
Dryas octopetala                                         +........1....12+.2..........
Festuca pumila                                           212112+.+1++211..+..1......1.
Flavocetraria cucullata                                  1.....................1.++.+.
Flavocetraria nivalis                                    1.....................1+++.+.
Galium anisophyllon                                      +.....++.....+..++.....++....
Helianthemum alpestre s.str.                             +.+...+......+++1......+1....
Juncus trifidus s.str.                                   2................+......+2...
Kobresia myosuroides                                     212++.32+2+...+11+..+.211..2.
Minuartia gerardii                                       ++....+..+...+.+.++....+...+.
Minuartia sedoides                                       ++1.+.++...+..+.....++1....1.
Myosotis alpestris                                       +.+++.+..........+...+1++.+1.
Oreochloa disticha                                       11..+.................21+1.+.
Oxytropis triflora                                       +............................
Pachypleurum mutellinoides                               +++++2....1+2.......1.11+.2+2
Pedicularis rostratocapitata subsp. rostratocapitata     +..............+...........+.
Persicaria vivipara                                      21+1.2.+++232+2++++211222.12.
Phyteuma hemisphaericum                                  +....+..+....++.+1++.....+...
Primula minima                                           12222..............+1+2.22...
Ranunculus alpestris s.str.                              +.+2+........................
Saxifraga paniculata                                     +..........................+.
Sesleria caerulea s.str.                                 2.2+2.+++1.+++.+1.11+1.22.+1.
Silene acaulis s.lat.                                    1221.++++++4212++12+22+11..2.
Thamnolia vermicularis var. vermicularis                 1+..2.................+..+.+.
Agrostis alpina s.str.                                   .1...1....+..1.2++1..+..1....
Antennaria carpatica                                     .21...1++2+....1..+.++.....+.
Avenula versicolor                                       .+..2133+2+....+..11..21.1...
Cladonia symphycarpa                                     .+2+.+.............+1...+.1+.
Euphrasia minima s.str.                                  .+.++1.......+++++.+.........
Pedicularis oederi                                       .+...........................
Primula glutinosa                                        .2..................+2.......
Salix herbacea                                           .++.+...1.+.3..+...1.+....1+.
Scorzoneroides helvetica                                 .+......314.......+.......1.3
Androsace obtusifolia                                    ..++..++.++1..............++.
Bartsia alpina                                           ..+1+.++++++.+++11+1.+..+..+.
Callianthemum coriandrifolium                            ..+..........................
Carex atrata                                             ..111.......21+1....1......1.
Carex firma                                              ..11.....+.+..+1.++..........
Erigeron uniflorus                                       ..+...++.+..........+........
Gentiana brachyphylla                                    ..+.+.......+...........+..+.
Gentiana verna subsp. verna                              ..++.+++++++...........+..+..
Juncus jacquinii                                         ..++11...2+........1+..+..++.
Phyteuma globulariifolium                                ..++1...............+........
Poa alpina                                               ..+++1+++.22+22+.+11+1....+++
Salix retusa s.str.                                      ..+3...2..21332214124+..+....
Salix serpyllifolia                                      ..1.1.3243..1.+23.....+......
Saxifraga moschata                                       ..+1.......+...............+.
Saxifraga oppositifolia subsp. oppositifolia             ..+++......................+.
Sedum atratum s.lat.                                     ..+..........................
undetermined bryophyte(s)                                ..+..+.........+......2...222
Achillea clavennae                                       ...+..........+.++...........
Gentiana acaulis                                         ...+..+++.+...+..............
Leontodon hispidus s.lat.                                ...1.+++....+33323.2.+..+2...
undetermined lichen(s)                                   ...+.+.......................
Cerastium uniflorum                                      ....+........................
Cladonia pyxidata                                        ....+.................+......
Doronicum glaciale subsp. glaciale                       ....+........................
Homogyne alpina                                          ....12+++.3++31+121221....+..
Loiseleuria procumbens                                   ....1....2........+.....+2.+.
Luzula lutea                                             ....+........................
Oxytropis campestris s.lat.                              ....+................+.......
Pulsatilla alpina subsp. apiifolia                       ....+.................++22...
Stereocaulon alpinum s.lat.                              ....+......................+.
Aster alpinus                                            .....+.......................
Festuca norica                                           .....22.......1......+.......
Gentianella rhaetica                                     .....+........+.+............
Geum montanum                                            .....1211.....2....2......1.+
Gnaphalium supinum                                       .....+..+.+.1......+......2.+
Leucanthemopsis alpina                                   .....2...............+......1
Peltigera canina                                         .....+.......................
Phyteuma orbiculare s.str.                               .....+..................+....
Potentilla aurea                                         .....+....12.1...+.1.+....+.+
Primula farinosa                                         .....+.......................
Ranunculus montanus s.str.                               .....+.1+.++.++++.+..2.+..+..
Veronica bellidioides                                    .....221..+...........+......
Anthoxanthum alpinum                                     ......1+.....+...+.....1+.+.+
Anthyllis vulneraria subsp. alpicola                     ......+++....++.1+...........
Cardfuss defloratus s.lat.                               ......++.....................
Hieracium alpinum                                        ......+......................
Lotus corniculatus var. alpicola s.lat.                  ......+......................
Primula elatior s.str.                                   ......+......................
Pulsatilla vernalis                                      ......+++.+..................
Thymus praecox subsp. polytrichus                        ......+......+..++...........
Arnica montana                                           .......+.....................
Festuca halleri                                          .......2..2..1+212.3+........
Hieracium villosum                                       .......1++....+.+.......++...
Luzula spicata s.lat.                                    .......+..+...+.++....+....+.
Soldanella alpina                                        .......+.....211++1..........
Vaccinium gaultherioides                                 .......1.1..............+2...
Anemone baldensis                                        ........+....2+.12.++........
Carex pauciflora                                         ........++.3....+++..+.......
Cirsium spinosissimum                                    ........+.................+..
Luzula alpinopilosa s.str.                               ........+..1+........+.1..1..
Taraxacum sect. Alpina                                   ........+..++................
Salix reticulata                                         .........1.+.1.+..3.+2.......
Carex caryophyllea                                       ..........+..................
Soldanella minima                                        ..........+........+.........
Achillea oxyloba                                         ...........+++++.+.++........
Hornungia alpina subsp. alpina                           ...........+.................
Saxifraga androsacea                                     ...........++................
Sibbaldia procumbens                                     ...........+.................
Potentilla brauneana                                     ............2.22....+........
Soldanella pusilla subsp. alpicola                       ............+...............+
Biscutella laevigata s.lat.                              .............++.+++..........
Gentiana nivalis                                         .............++.+...+........
Juncus monanthos                                         .............+.+.............
Selaginella selaginoides                                 .............+..++.+.........
Deschampsia cespitosa                                    ..............+..............
Nardus stricta                                           ..............+..+........+.1
Saxifraga caesia                                         ..............++.............
Trollius europaeus                                       ..............+........++....
Armeria alpina                                           ...............+..1+.+++.....
Solorina bispora s.lat                                   ...............+.............
Bellidiastrum michelii                                   ................++...........
Carex ferruginea s.str.                                  ................+............
Crepis aurea subsp. aurea                                .................+...........
Gnaphalium hoppeanum                                     .................+...........
Horminum pyrenaicum                                      .................+...........
Agrostis rupestris                                       ...................+.....+...
Hedysarum hedysaroides subsp. hedysaroides               ...................+...++..+.
Veronica alpina                                          ...................++........
Gentiana bavarica s.str.                                 ....................++.......
Pedicularis verticillata                                 ....................++1++....
Cladonia gracilis                                        ......................+......
Cladonia rangiferina                                     ......................+.++...
Draba aizoides subsp. aizoides                           ......................+.++...
Draba fladnizensis                                       ......................+......
Festuca pseudodura                                       ......................2121...
Lloydia serotina                                         ......................22...2.
Saponaria pumila                                         ......................+......
Gentiana punctata                                        .......................+....+
Oxytropis species                                        .......................+.....
Antennaria dioica                                        ........................+....
Carex capillaris                                         ........................+....
Doronicum clusii s.lat                                   ........................+....
Nigritella nigra subsp. austriaca                        ........................+....
Parnassia palustris                                      ........................+....
Pinguicula alpina                                        ........................+....
Saussurea alpina                                         ........................+..+.
Viola biflora                                            ........................+....
Senecio carniolicus                                      .........................+...
Alchemilla pentaphylla                                   ..........................+..
Plantago alpina                                          ..........................+..
Saxifraga bryoides                                       ...........................+.
Solorina saccata                                         ...........................+.
Trifolium alpinum                                        ............................+
END TABLE
