BEGIN HEAD
plot                                     bbbbbbbbbbbbbbbbbbbbbbbbbbbb
                                         iiiiiiiiiiiiiiiiiiiiiiiiiiii
                                         0000000001111111111222222222
                                         1234567890123456789012345678
richness                                 11111111211112132121 1111111
                                         5353373457321742472764656364
                                                                     
END HEAD
BEGIN TABLE
Larix decidua                        tl1 3........................222
Picea abies                              15.14.2+142.113.....5542234.
Abies alba                               ...1224221....3.......34332.
Betula pendula                           ...1.1.4+.2.22.............3
Pinus sylvestris                         ...+.3+1..4.3..........1...2
Viscum laxum ssp. abietis                .....+.................++...
Fagus sylvatica                          ........1...................
Prunus avium s.lat.                      ........2...................
Quercus robur                            ........2.+.................
Sorbus aucuparia ssp. aucuparia          ........+...................
Acer pseudoplatanus                      .............2..............
Fraxinus excelsior                       .............2..............
Populus tremula                          .............2..............
Abies alba                           tl2 ...................4..221532
Picea abies                              ...................1...24113
Betula pendula                           ......................211..2
Sorbus aucuparia ssp. aucuparia          ......................+.....
Abies alba                            sl 1..4+1+223.12.2...+2..341.32
Frangula alnus                           2.12+2++2+112.....21...1+++2
Picea abies                              +..1.++1++1.+121..+1..32+.23
Betula pendula                           ...+.+.1++211..232+...+.....
Pinus sylvestris                         .......+.......11...........
Fagus sylvatica                          ........+...................
Malus domestica                          ........+....+..............
Acer pseudoplatanus                      .............1....+.........
Fraxinus excelsior                       .............1..............
Salix caprea                             .............+.11...........
Sambucus nigra                           .............1..............
Alnus incana                             ...............1+...........
Populus × canadensis s.lat.              ...............2+...........
Salix alba                               ...............1+...........
Salix cinerea s.str.                     ...............1............
Salix purpurea                           ...............2............
Alnus glutinosa                          ................14..........
Populus tremula                          .................2..........
Salix viminalis                          .................1..........
Larix decidua                            ..................1.........
Quercus robur                            ..................+.........
Sorbus aucuparia ssp. aucuparia          ......................1.....
Abies alba                            hl +++1111..2+12.+.+.1..1++++++
Betula pendula                           +.+..+.....11..12.+.........
Dryopteris carthusiana s.str.            +...++..++....+...++....+.+.
Frangula alnus                           +++1+1++1++2+.+...21r2++++.+
Maianthemum bifolium                     +...+.......................
Rubus sect. Rubus                        +....+..2....2....2..1.....+
Vaccinium myrtillus                      2++2+32322152.+.+.11..+31+11
Quercus robur                            .+.....r+........r...+......
Aegopodium podagraria                    ..+.........................
Avenella flexuosa                        ..+++1++2++..+..1.++.+..++.1
Carex canescens ssp. canescens           ..1.....+.+.................
Carex pilulifera ssp. pilulifera         ..+.....1.........2+.+......
Juncus effusus ssp. effusus              ..1............+2.+.........
Larix decidua                            ..r.............+........+++
Oxalis acetosella                        ..+.........................
Picea abies                              ..+++++..2+..++++++....++...
Sambucus nigra                           ..+.....+.........+..r......
Taraxacum sect. Ruderalia                ..+..............1..........
Sorbus aucuparia ssp. aucuparia          ....r...+++.......++.+.+.+..
Agrostis capillaris                      .....+..+......1+...........
Pinus sylvestris                         .....+.....+...+++.........+
Ajuga reptans                            ........+....1..............
Carex digitata                           ........+...................
Corylus avellana                         ........+...................
Lactuca muralis                          ........+...................
Scrophularia nodosa                      ........r...................
Viola riviniana                          ........+...................
Abies nordmanniana                       ...........2................
Calluna vulgaris                         ...........+11..2...........
Acer pseudoplatanus                      .............+..............
Angelica sylvestris ssp. sylvestris      .............2..............
Brachypodium sylvaticum                  .............1..............
Dactylis glomerata ssp. glomerata        .............+.2.+..........
Dryopteris filix-mas s.str.              .............+..............
Geranium robertianum s.str.              .............2..............
Glechoma hederacea                       .............1..............
Moehringia trinervia                     .............+..............
Poa nemoralis                            .............1..............
Polypodium vulgare s.str.                .............+..............
Primula elatior s.str.                   .............+..............
Sanicula europaea                        .............1..............
Urtica dioica ssp. dioica                .............3..............
Viola reichenbachiana                    .............+..............
Agrostis stolonifera s.str.              ...............22...........
