BEGIN HEAD
plot                                      wwwwwwwwwwwwwwwwwwwwwwwwwww
                                          hhhhhhhhhhhhhhhhhhhhhhhhhhh
                                          000000000000000111111111111
                                          122223456678899001122345678
                                          aabcdaaaabaabababababaaaaaa
richness                                  11111  111 1211113332211112
                                          597646821785052191010882393
                                                                     
END HEAD
BEGIN TABLE
Picea abies                           tl1 53444555555..5555..........
Pinus sylvestris                          .2223...11...1.1111........
Larix decidua                             ...1.............1.........
Alnus incana                              .................2.........
Salix × rubens                            .................3.........
Populus tremula                           .................11........
Salix caprea                              .................22........
Quercus robur                             .................1.........
Acer campestre                            .................1.........
Betula pendula                            .................+1........
Acer pseudoplatanus                       ..................1........
Salix alba                                ..................2........
Prunus avium s.lat.                       ..................2........
Alnus glutinosa                           ..................1........
Picea abies                           tl2 .1........2................
Fagus sylvatica                        sl .1211...++..2......+1......
Picea abies                               .2322...22..4....22.+......
Pinus sylvestris                          .+.........2.....11+1......
Betula pendula                            ...........1.....+111......
Larix decidua                             ...........2.....+.........
Salix caprea                              ...........+......1131.....
Tilia cordata                             ...........+......2.2......
Salix purpurea                            .................21+.2.....
Alnus incana                              .................+.........
Rosa canina s.str.                        .................+.........
Crataegus monogyna                        .................+211......
Cornus sanguinea ssp. sanguinea           .................+211......
Quercus robur                             .................1.1.1.+22.
Acer pseudoplatanus                       .................11.+......
Acer campestre                            .................22........
Hippophaë rhamnoides ssp. rhamnoides      .................+.3.......
Viburnum opulus                           ..................1+1......
Salix alba                                ..................132+.....
Populus tremula                           ..................11.+.....
Prunus avium s.lat.                       ..................1........
Pyrus pyraster                            ..................2........
Alnus glutinosa                           ..................1........
Salix appendiculata s.str.                ..................++.+.....
Corylus avellana                          ...................1.......
Salix × rubens                            ...................1.......
Salix eleagnos ssp. eleagnos              ...................+.+.....
Populus sp.                               ....................3......
Carpinus betulus                          .....................1.22+.
Robinia pseudacacia                       .....................+.....
Cytisus scoparius ssp. scoparius          .......................1...
Agrostis capillaris                    hl +.+........++..............
Avenella flexuosa                         +2111..+11+.1+++1..........
Calamagrostis epigejos                    ++1......+.32.....+24541..2
Carex pilulifera ssp. pilulifera          1++++.+1+++.+++++..........
Dryopteris carthusiana s.str.             1++1++++++++1++++..........
Fagus sylvatica                           r+++1r..+++.1+.++..++......
Galeopsis bifida                          +.+....+...22...++++.....+.
Galium album s.str.                       +++.+.+..+......+..+.......
Luzula pilosa                             +.+..r++.++..++.+..........
Moehringia trinervia                      ++..............+..........
Oxalis acetosella                         +1+1+....+..1+..+..........
Picea abies                               +2222r.+22..2+++..11+......
Quercus robur                             +++++...++..+r+.r..1..22..2
Rubus fruticosus agg.                     +2222.++...23+.++12....2...
Vaccinium myrtillus                       +3433+++442111+++..........
Calluna vulgaris                          .+..........+..............
Digitalis purpurea                        .r++...r.....+........+.+.+
Dryopteris dilatata                       .2121....+......+..........
Juncus effusus ssp. effusus               .+.....r...+1....+...121+14
Molinia caerulea s.str.                   .+.........................
Pinus sylvestris                          .++r.....+.1....+..++......
Rubus idaeus                              .1.+1....+.33+...21..1+5..+
Acer pseudoplatanus                       ...r............r++.+......
Polypodium vulgare s.str.                 .....r.....................
Urtica dioica ssp. dioica                 ......+....++....+2..+.3...
Carex pallescens                          .......+.....+.+...........
Melampyrum pratense                       .......+++..+..............
Vaccinium vitis-idaea                     ........++.................
Epilobium angustifolium                   ...........1....+..........
Larix decidua                             ...........+...............
Carex brizoides                           ............+..............
Impatiens parviflora                      ............+.....+....1.+.
Potentilla erecta                         ............+..............
Lactuca muralis                           .............+r.+..........
Athyrium filix-femina                     ..............+............
Salix caprea                              ..............r....+..2...2
Sorbus aucuparia ssp. aucuparia           ..............r+...........
