BEGIN HEAD
plot                              000000000111
                                  123456789012
richness                          223 341113  
                                  783800133295
                                              
END HEAD
BEGIN TABLE
Sisymbrium officinale          hl r....r......
Solidago gigantea                 r.....+.....
Taraxacum sect. Ruderalia         rrr..r...r..
Tripleurospermum inodorum         rr...r......
Barbarea vulgaris                 rrr..r.r.+..
Capsella bursa-pastoris           r...........
Agrostis stolonifera              +22+r2+.+122
Cirsium arvense                   r.r.r+...r..
Deschampsia cespitosa             r.r..rr..2..
Elymus caninus                    r...........
Elymus repens                     r....r......
Erigeron annuus                   rrr.r+..rr..
Erysimum cheiranthoides           r...rr...r..
Linaria vulgaris                  r.r.........
Mentha pulegium                   r...........
Myosoton aquaticum                rrr.rr...r..
Persicaria dubia                  +.r11.2..r2.
Phalaris arundinacea              122++2+2r222
Plantago lanceolata               r.r..r......
Acer negundo                      rrr..r.rrr..
Populus nigra                     r.r.rr1..r..
Artemisia vulgaris                rrr.rr...r..
Rorippa sylvestris                222.2r.12r12
Rumex obtusifolius                rrr.r.r..r..
Salix alba                        rr2r++12+++.
Salix fragilis                    r.r.r..+....
Salix purpurea                    +.r..2......
Veronica anagallis-aquatica       .+r.....rr..
Veronica beccabunga               .r..rr..r...
Veronica catenata                 .rr.r....r..
Veronica peregrina                .r..........
Cardamine amara                   .r..........
Carpinus betulus                  .r..........
Elatine sp.                       .r..........
Juncus articulatus                .r..........
Lolium perenne                    .r.......r..
Lythrum salicaria                 .r..r.......
Myosotis scorpioides              .r.r........
Plantago major                    .rr.r...r...
Poa annua                         .r+.rr..+r++
Poa trivialis                     .2+..+r.++.2
Rorippa amphibia                  .+.......r..
Rumex crispus                     .rr..r......
Stellaria media                   ..r.r..rr++.
Bidens frondosus                  ..r.........
Carex acuta                       ..1.2..r....
Cirsium vulgare                   ..r.r.......
Echinochloa crus-galli            ..rr........
Mentha arvensis                   ..r.........
Ranunculus repens                 ..r......r+.
Rumex maritimus                   ..r......r..
Senecio sarracenicus              ...+........
Persicaria lapathifolia           ...+r.+..+2.
Solanum dulcamara                 ....r..r.r..
Urtica dioica                     ....rr...r..
Epilobium sp.                     ....r.......
Lactuca serriola                  ....r....r..
Arenaria serpyllifolia s.str.     ....r.......
Polygonum aviculare               ....r.......
Rubus caesius                     ....r+.r....
Rumex palustris                   ....r.......
Sisymbrium loeselii               .....r......
Sonchus asper                     .....r......
Aster lanceolatus                 .....+......
Tanacetum vulgare                 .....r......
Viola arvensis                    .....r......
Cardamine hirsuta                 .....r......
Carex hirta                       .....1......
Clematis vitalba                  .....r......
Equisetum arvense                 .....r......
Galium aparine                    .....r...r..
Holcus lanatus                    .....r......
Oenothera biennis                 .....r......
Oxalis stricta                    .....r......
Phragmites australis              .....+.2....
Poa angustifolia                  .....r......
Populus alba                      ......rr....
Arctium minus                     .......r....
Ficaria verna agg.                ........r...
Ulmus minor                       .........r..
Saponaria officinalis             .........r..
END TABLE
