BEGIN HEAD
plot                                              aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
                                                  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
                                                  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
                                                  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
                                                  000000000111111111122222222223333
                                                  123456789012345678901234567890123
richness                                          444332434242433343454433244442114
                                                  850259196579002712145891636628564
                                                                                   
END HEAD
BEGIN TABLE
Agrostis capillaris                            hl ++........+......+.............1+
Ajuga reptans                                     r+.r+++...+.r.+........r...+.....
Alchemilla monticola                              21+....+r++1+.+...++++11..+11....
Alopecurus pratensis                              +........1.1.+1........22..+.....
Anthoxanthum odoratum s.str.                      221+++22223212....21121...+22...1
Briza media                                       122.+1212.2.1..1123+222..1211...+
Caltha palustris                                  +.1...+++.+.1...r+.......+1++r..1
Carex echinata                                    122122211.+.1....+.......r.11+..1
Carex flava var. flava                            ++1+..+.+.+....11........r++++..+
Carex lepidocarpa                                 +1+1+.+.+...........r.....+++....
Carex leporina                                    221...+.1.11.+..+..1.......+2+...
Carex nigra                                       +11222222.+.1....+.+.r...2111+..1
Carex pallescens                                  +1++....1.1.+.....r1+11...++2+..r
Carex panicea                                     223321222.2.2..222+1122..22222..1
Carum carvi                                       1........++....r..1...12+..+.....
Cerastium holosteoides                            ++r...+++++++++...+.+.++..r+....r
Cynosurus cristatus                               111...222...21..+.+1222+..+21r..1
Dactylorhiza majalis ssp. majalis                 r111.1+rr.+.+..1+++.r+...1.++...+
Festuca pratensis s.str.                          22+.+.+11.2221..+.212221.r212...+
Festuca rubra ssp. rubra                          222.++211222231...12211+.rr11.r.r
Galium palustre ssp. palustre                     r.+1+.++1...+...............+1+.+
Galium uliginosum                                 +1..++++r.1....+...+......++++..+
Geranium sylvaticum                               r................................
Holcus lanatus                                    +22++.222.2.2..............22...1
Juncus effusus ssp. effusus                       ++11+.111.+.1...+++..+...++112..1
Lathyrus pratensis ssp. pratensis                 ++++++.+++++++1+....+1+11r+++++..
Leontodon hispidus ssp. hispidus                  221.12211.21+++r1132223..1.11...+
Lotus corniculatus s.str.                         ++....+...+....+++2+212+.++++....
Luzula multiflora s.str.                          ++......+.+..........r....+.+....
Lychnis flos-cuculi                               +11+..++1.+.+..+..........++1...+
Myosotis palustris agg.                           111+..+++.+.1........r....+++2..2
Phleum pratense s.str.                            r+.......2.211+...1++1122...+.+.r
Plantago lanceolata                               12+..+21+212121+1+.11111+++11...+
Poa trivialis                                     ++++..+.+1+1++2.+...++.22..++++.1
Prunella vulgaris                                 111.+.1+..1.+1.++.1.+r+r..r11...r
Ranunculus acris ssp. acris                       ++1+++1++2+2112+1+.+1+111+111r...
Ranunculus nemorosus                              +.................r.r............
Ranunculus repens                                 +r....+.+3+2r+1.+...+++11.r++...1
Rhinanthus minor                                  1....r1+..+.+...+.21+11....+....r
Rumex acetosa                                     +++....r+r+1r++...+++++++..++....
Stellaria graminea                                +.......+.........+++++..........
Taraxacum sect. Ruderalia                         r........r.+.1+.....+++11........
Trifolium dubium s.str.                           22...r22+.1.2........r.....22...1
Trifolium pratense ssp. pratense                  221.+1222112322.1+2221232+122...r
Trifolium repens ssp. repens                      +++...r.21++122...1.1r+22..1+...r
Trisetum flavescens ssp. flavescens               11....++.213.33...1+1.132...+....
Trollius europaeus                                1++...2+..1................11....
Veronica chamaedrys ssp. chamaedrys               r+......+r+1+21.....++..+......r.
Anemone nemorosa                                  .r...............................
Juncus articulatus                                .r+2+++++...+..11+.......11+....2
Valeriana dioica                                  .+2223222...+..+11.......121+2+.2
Veratrum album ssp. album                         .r....r...r........1.............
Vicia cracca s.str.                               .+rr..+++++++++...++..++2r.++r+..
Willemetia stipitata ssp. stipitata               .+1.11111.1....111.1.....+11+...2
Carex davalliana                                  ..2122.........334.......33.....r
Cirsium palustre                                  ..rrrr..r.......r............r.r.
Potentilla erecta                                 ..+121.+..1....1.1+1.....11..2+..
Ranunculus flammula s.str.                        ..r+....1........................
Scirpus sylvaticus                                ..+321131...2..............2r42.5
Epilobium palustre                                ...r.............................
Epilobium parviflorum                             ...+....r........r........+.....1
Epilobium sp.                                     ...+...........................r.
