BEGIN HEAD
plot                                                   ttttttttttttttt
                                                       ggggggggggggggg
                                                       000000000111111
                                                       123456789012345
richness                                               644445452451341
                                                       476126032578807
                                                                      
END HEAD
BEGIN TABLE
Agrostis alpina s.str.                              hl 1.2.22+2+22..2.
Agrostis rupestris                                     2.+......++..+.
Alchemilla sp.                                         r..............
Anthoxanthum alpinum                                   1+........+....
Arctostaphylos alpinus                                 222+..++.+21+..
Avenula versicolor                                     +..............
Bartsia alpina                                         ++++++.+++++++.
Campanula scheuchzeri                                  +....+.+..+.+..
Carex atrata                                           r.+..+.+.++....
Carex firma                                            132241423122323
Carex sempervirens ssp. sempervirens                   1....+.+..+....
Chamorchis alpina                                      +..............
Dryas octopetala                                       22+2222221.221+
Euphrasia minima s.str.                                2+++++++++++.+.
Euphrasia salisburgensis s.str.                        +..+++++++..+..
Festuca pumila                                         2+++++++.++++1+
Galium noricum                                         ++r++1++.+++.+.
Gentianella aspera                                     2....+...r+....
Gentiana verna ssp. verna                              r..++.+...r.++.
Hedysarum hedysaroides ssp. hedysaroides               r....1....+....
Helianthemum alpestre                                  ++++.++++.+.+++
Hieracium alpinum                                      1..............
Homogyne alpina                                        +++.......+....
Homogyne discolor                                      1+..++.+.++....
Huperzia selago ssp. selago                            ++++++++.++.+..
Juncus monanthos                                       +..............
Luzula alpina                                          r.........+....
Luzula glabrata                                        r..............
Minuartia gerardii                                     +.......+...+++
Pachypleurum mutellinoides                             +..............
Pedicularis rostratocapitata ssp. rostratocapitata     +++++++++.+.+..
Persicaria vivipara                                    ++++++.+.++++++
Phyteuma orbiculare s.str.                             +..............
Poa alpina                                             +..+.......++..
Potentilla aurea                                       +.........+....
Potentilla crantzii                                    1..............
Primula clusiana                                       2++++1+++++.2++
Ranunculus alpestris s.str.                            ++.r++++.++.++.
Rhododendron hirsutum                                  ++.+++......+..
Salix retusa s.str.                                    ++++.+.+.++1+2+
Saussurea pygmaea                                      +.r+.+++rr+..+.
Saxifraga caesia                                       r.....+........
Scorzoneroides helvetica                               2..............
Selaginella selaginoides                               ++++++.+.++.+..
Sesleria caerulea s.str.                               1....r....2.+..
Silene acaulis ssp. exscapa                            +..+...........
Silene acaulis ssp. longiscapa                         2+...1+++++2++r
Tofieldia pusilla                                      +1++11+++++.+..
Vaccinium gaultherioides                               1+1..++..+2.++.
Vaccinium myrtillus                                    2.+.+..........
Vaccinium vitis-idaea                                  2++.++.+.1+.+..
Achillea clavennae                                     .r.............
Anthyllis vulneraria ssp. alpicola                     .+.++..+.......
Campanula alpina                                       .+1.+++1.++....
Carex capillaris                                       .++.++++.+2.++.
Carex parviflora                                       .+..+..+.++..+.
Loiseleuria procumbens                                 .23+13+4r43.1+.
Minuartia sedoides                                     .++++++1.+...++
Noccaea crantzii                                       .++++..........
Oxytropis montana s.str.                               .r.+.+.+..1..+.
Parnassia palustris                                    .+........r....
Pedicularis rosea ssp. rosea                           .+.++++r+++.+r.
Pinguicula alpina                                      .+.++++++.+....
Saxifraga aizoides                                     .+.+.......++..
Soldanella austriaca                                   .++....+.+.....
Valeriana celtica ssp. norica                          .++.++.+.11..2.
Veronica aphylla                                       .r........r....
Carex fuliginosa                                       ..1.+.r..r+.11.
Kobresia simpliciuscula                                ..+.++2...+.2..
Arenaria ciliata                                       ...+.+.........
Campanula cochleariifolia                              ...r...........
Crepis terglouensis                                    ...+r.+.1....r+
Gentiana brachyphylla                                  ...r.....r+.r..
Hornungia alpina ssp. alpina                           ...+...........
Larix decidua                                          ...r...........
Rhodothamnus chamaecistus                              ...r...........
Salix alpina                                           ...r...........
Armeria alpina                                         ....+.........r
Gentiana clusii ssp. clusii                            ....+++...+....
Antennaria carpatica                                   .....+.+.+.....
Empetrum hermaphroditum                                .....r......2..
Euphrasia officinalis ssp. picta                       .....+.........
Viola biflora                                          .....+.........
Cerastium carinthiacum ssp. carinthiacum               ......r....+...
Pinus mugo s.str.                                      ......r........
Potentilla clusiana                                    ......+........
Saxifraga oppositifolia ssp. oppositifolia             ......r.......+
Solidago virgaurea ssp. minuta                         ......r........
Gentiana nivalis                                       .......r.....+.
Gentiana pumila                                        .......r....r..
Hieracium nigrescens                                   .......+.......
Leontodon hispidus s.lat.                              .......r..r....
Mutellina adonidifolia                                 .......r.......
Ranunculus montanus s.str.                             .......r.......
Coeloglossum viride                                    ..........r....
Arabis stellulata                                      ...........r...
Minuartia austriaca                                    ...........+...
Saxifraga paniculata                                   ...........++.+
Valeriana elongata                                     ...........+r..
Draba sauteri                                          .............r.
Moehringia ciliata                                     .............+.
Salix serpyllifolia                                    .............2.
Gentiana bavarica var. subacaulis                      ..............+
Juncus triglumis ssp. triglumis                        ..............+
Cetraria ericetorum                                 ml +.+..+.rr++....
Cetraria islandica ssp. islandica                      +++.++.++++..+.
Cladonia rangiferina                                   +r+.++.+.++..+.
Cladonia uncialis s.lat.                               2r+.+++1.+...+.
Flavocetraria cucullata                                2.+..+.+.+...+.
Flavocetraria nivalis                                  1........r.....
Hylocomium splendens                                   +.+..+......+..
Pleurozium schreberi                                   +.+..+...++....
Polytrichum juniperinum                                +.+....+.++..+.
Rhytidiadelphus triquetrus                             +....+.........
Thamnolia vermicularis var. vermicularis               +++++++++++.++.
Tortella tortuosa                                      1+.++++++.+++++
Vulpicida tubulosus                                    rr....+r+.r..+.
Brachythecium glareosum var. glareosum                 .++..+.........
Caloplaca sp.                                          .+.+..+........
Cladonia arbuscula s.lat.                              ..+............
Cladonia pyxidata                                      ..+.++++.+...+.
Dicranum sp.                                           ..+............
undetermined bryophyte(s)                              ..1............
Rhytidium rugosum                                      ....+..........
END TABLE
