BEGIN HEAD
plot                                               ssssssssssssssssss
                                                   zzzzzzzzzzzzzzzzzz
                                                   wwwwwwwwwwwwwwwwww
                                                   ffffffffffffffffff
                                                   000000000111111111
                                                   123456789012345678
richness                                           322334244755655555
                                                   589510749627470358
                                                                     
END HEAD
BEGIN TABLE
Acer pseudoplatanus                             hl r+......++.1+.++.1
Achillea millefolium agg.                          +...+.+...........
Agrostis capillaris                                +.................
Anthyllis vulneraria ssp. carpatica                +...1++...........
Arrhenatherum elatius                              r.rr.221..........
Briza media                                        2++12+.+r.........
Bromus erectus                                     34..3+13..........
Carex caryophyllea                                 +1+11+13..........
Carex flacca ssp. flacca                           1111....21.++++.++
Dactylis glomerata ssp. glomerata                  ++.....+.........r
Daucus carota ssp. carota                          +....+++r.........
Galium album s.str.                                r1.+1221+.....r+.r
Holcus lanatus                                     ++................
Hypericum perforatum                               rr...+..+.........
Lathyrus sylvestris                                r....r............
Leontodon hispidus ssp. hispidus                   +.+1..12..........
Linum catharticum                                  +.++......+.......
Lotus corniculatus s.str.                          1.1++1+++r........
Medicago falcata                                   1.................
Pimpinella major var. major                        r..r...r.....++++.
Plantago lanceolata                                1+................
Poa angustifolia                                   11..r.1...........
Prunella vulgaris                                  +......+..........
Ranunculus acris ssp. acris                        +......r..........
Rhinanthus alectorolophus ssp. alectorolophus      3.................
Rhinanthus minor                                   +...rr.+..........
Rubus caesius                                      r+..r+...........r
Sanguisorba minor ssp. minor                       1....+..+.........
Securigera varia                                   +.................
Silene vulgaris ssp. vulgaris                      r.................
Solidago canadensis                                r...r+r+1.........
Taraxacum sect. Ruderalia                          r......r..........
Tragopogon orientalis                              r.................
Trifolium pratense ssp. pratense                   1....r.1..........
Verbascum nigrum                                   r...+12r.r........
Ajuga reptans                                      .+.....+....++....
Anthoxanthum odoratum s.str.                       .+.....+..........
Carex pallescens                                   .r................
Centaurea jacea ssp. jacea                         .r................
Colchicum autumnale                                .2................
Festuca pratensis s.str.                           .r.....+..........
Festuca rubra ssp. rubra                           .+......+.........
Fraxinus excelsior                                 .1......++r+++++11
Homalotrichon pubescens ssp. pubescens             .+................
Lathyrus pratensis ssp. pratensis                  .+..++.+..........
Luzula campestris s.str.                           .r................
Primula elatior s.str.                             .+................
Primula veris ssp. veris                           .+................
Ranunculus nemorosus                               .r+........+r++.++
Trisetum flavescens ssp. flavescens                .+.....+..........
Valeriana officinalis s.lat.                       .r................
Brachypodium rupestre spp. rupestre                ..+3.............+
Buphthalmum salicifolium                           ..2r.....+2.......
Calamagrostis varia                                ..1+....3211122222
Carduus defloratus ssp. viridis                    ..rr....+++r......
Carex alba                                         ..r.....+2+3443442
Carex ornithopoda ssp. ornithopoda                 ..r++.++2+.+1++.rr
Carlina vulgaris ssp. vulgaris                     ..++....+r........
Dactylorhiza maculata s.lat.                       ..r..............+
Erica carnea                                       ..2+....12222.1112
Gymnadenia odoratissima                            ..r...............
Hieracium bifidum                                  ..1+....+r+.+.....
Molinia arundinacea                                ..3.....rr+.+.....
Ophrys insectifera                                 ..r+..............
Origanum vulgare ssp. vulgare                      ..++122++....r.+.+
Parnassia palustris                                ..r...............
Polygala amarella                                  ..rr..............
Potentilla erecta                                  ..r+....+1+.1+1111
Sesleria caerulea s.str.                           ..1......222112223
