BEGIN HEAD
plot                                    ffffff
                                        bbbbbb
                                        000000
                                        111222
                                        abcabc
richness                                312313
                                        582983
                                              
END HEAD
BEGIN TABLE
Agrostis rupestris                   hl 1..+.+
Alchemilla sp.                          ++1+..
Anthoxanthum alpinum                    +.1+.2
Arnica montana                          +..+..
Avenula versicolor                      1..1++
Campanula barbata ssp. barbata          +..+++
Campanula scheuchzeri                   +.+2++
Carex curvula ssp. curvula              2.1321
Coeloglossum viride                     r.....
Crepis aurea ssp. aurea                 +.+...
Deschampsia cespitosa                   +.2+.1
Festuca picturata                       +..+.1
Gentiana bavarica s.str.                +++...
Geum montanum                           +.++.+
Gnaphalium supinum                      +.....
Homogyne alpina                         1.+1.1
Juncus jacquinii                        +.....
Leucanthemopsis alpina                  r..+.+
Loiseleuria procumbens                  +..25.
Luzula alpinopilosa s.str.              +.++.1
Luzula alpina                           +..+.+
Mutellina adonidifolia                  2.1++1
Nardus stricta                          3.3+.3
Persicaria vivipara                     ++.+.+
Phleum rhaeticum                        +.1+.1
Phyteuma hemisphaericum                 +..+2.
Poa alpina                              1.11.2
Potentilla aurea                        1.+1.+
Primula minima                          1..+1+
Rumex alpestris                         +.....
Salix herbacea                          +.....
Scorzoneroides helvetica                2.12+2
Senecio carniolicus                     +.....
Soldanella pusilla ssp. alpicola        2..+.+
Veronica bellidioides                   +..+.+
Bartsia alpina                          .+....
Carex nigra                             .4+...
Carex pilulifera ssp. pilulifera        .+....
Epilobium nutans                        .2....
Equisetum variegatum                    .2....
Eriophorum angustifolium                .2....
Juncus filiformis                       .1....
Juncus triglumis ssp. triglumis         .2....
Luzula sudetica                         .+....
Salix breviserrata                      .+....
Saxifraga stellaris s.lat.              .+....
Soldanella alpina                       .+...+
Taraxacum sect. Ruderalia               .++...
Viola palustris                         .+....
Willemetia stipitata ssp. stipitata     .+....
Avenella flexuosa                       ..11.1
Cerastium holosteoides                  ..+...
Leontodon hispidus s.lat.               ..+..+
Ranunculus montanus s.str.              ..+...
Carex atrata                            ...+..
Festuca pseudodura                      ...1+.
Festuca pumila                          ...1.+
Gentiana pannonica                      ...+.+
Hieracium alpinum                       ...11+
Oreochloa disticha                      ...22.
Pulsatilla alpina ssp. alba             ...+1+
Silene acaulis ssp. exscapa             ...+1.
Vaccinium gaultherioides                ...+..
Vaccinium vitis-idaea                   ...1+.
Veronica alpina                         ...+..
Euphrasia minima s.str.                 ....2.
Juncus trifidus s.str.                  ....1.
Myosotis alpestris                      ....+.
Biscutella laevigata ssp. laevigata     .....+
Festuca nigrescens                      .....1
Pseudorchis albida s.lat.               .....+
END TABLE
