BEGIN HEAD
plot                                              sssssssssssssssssssssssss
                                                  aaaaaaaaaaaaaaaaaaaaaaaaa
                                                  eeeeeeeeeeeeeeeeeeeeeeeee
                                                  ttttttttttttttttttttttttt
                                                  0000000000000000000000111
                                                  1122344555666777888999000
                                                  -------------------------
                                                  2222222222222222222222222
                                                  0000000000000000000000000
                                                  2222222222222222222222222
                                                  3535335345345345345345345
richness                                          3445445555343555555444544
                                                  5264030334858445378587056
                                                                           
END HEAD
BEGIN TABLE
Aegopodium podagraria                          hl 22..+11++r.+.+rr.........
Ajuga reptans                                     1+11111+++...+++++++++...
Arrhenatherum elatius                             3322322222111111++1+++111
Betonica officinalis                              r...............++1+++...
Brachypodium pinnatum s.str.                      11..21+222211222333222111
Brachypodium sylvaticum                           1+.+2++111...............
Calystegia sepium s.str.                          11++1++...+++............
Carex panicea                                     rr.r.....................
Cerastium holosteoides                            +r++.++..........rr......
Crepis biennis                                    +r.......................
Dactylis glomerata ssp. glomerata                 22112.+1111++111++++rr1+r
Elytrigia repens                                  +1..+++++r322............
Festuca arundinacea ssp. arundinacea              21+r.+r11+11+111......+++
Festuca rubra ssp. rubra                          1122111222211222++1111111
Filipendula ulmaria                               +++r+++++r......+++r.rr..
Fraxinus excelsior                                rrrr...+++.++r++111+rr+rr
Galium album s.str.                               +++++++++++++111+++++++++
Holcus lanatus                                    2222222222..+222111+11111
Lotus corniculatus s.str.                         ++++.++++.++r+++.rr++....
Poa angustifolia                                  11++.12112+++111111+++111
Poa pratensis                                     ++1+1+++rr........r......
Poa trivialis                                     11.1.+r..................
Potentilla reptans                                +1++.++..................
Ranunculus acris ssp. acris                       rr+++++......r.r...+rr...
Rhinanthus minor                                  r+.r......+rr++r2+r......
Rubus caesius                                     ++11+++++++++r++111..rrrr
Rumex acetosa                                     r........................
Scrophularia nodosa                               r.r.......rr.............
Symphytum officinale                              11..............+++r.....
Taraxacum sect. Ruderalia                         r+...........rrr.........
Thalictrum lucidum                                ++..r...........rr.......
Trifolium medium ssp. medium                      21..+..r.................
Valeriana officinalis agg.                        rr..+..++r......+.r+rr...
Veronica chamaedrys ssp. chamaedrys               rr...rr.rr......+++......
Vicia cracca s.str.                               1111+++211++++++++++rr+++
Acer pseudoplatanus                               .rrrr++++1211111111...+rr
Astragalus glycyphyllos                           .r...1.......r11.........
Carex flacca ssp. flacca                          .+11+12+11..+121222111111
Carex hirta                                       .+11+...........rr.......
Carex sylvatica ssp. sylvatica                    .+..+++++r...............
Lathyrus pratensis ssp. pratensis                 .++++++111.++++++++++++++
Phleum pratense s.str.                            .1.+...+++.++...........r
Plantago lanceolata                               .+rr.....r...++++++rrr+++
