BEGIN HEAD
plot                                   eeeeeeeee
                                       nnnnnnnnn
                                       wwwwwwwww
                                       iiiiiiiii
                                       000000000
                                       123456789
richness                               333322222
                                       597942513
                                                
END HEAD
BEGIN TABLE
Acer campestre                      hl +++......
Agrimonia eupatoria                    r..r.....
Anemone nemorosa                       rr.......
Brachypodium sylvaticum                11212111+
Bromus erectus                         r.r......
Carex alba                             22441.+..
Carex flacca ssp. flacca               rr+1.....
Carex polyphylla                       rr.r.....
Convallaria majalis ssp. majalis       +r12.....
Cornus mas                             +++++....
Cornus sanguinea s.lat.                ++++22221
Corylus avellana                       r.....r..
Crataegus monogyna                     +.22++++.
Dactylis glomerata ssp. glomerata      rr.......
Erigeron annuus s.lat.                 r..r.....
Festuca heterophylla                   rr+2.....
Fragaria moschata                      rrr......
Fraxinus excelsior                     ++11.11++
Hedera helix                           r1+....+.
Hepatica nobilis                       rr.......
Ligustrum vulgare                      22+2.r+.+
Lonicera xylosteum                     +++11112+
Origanum vulgare ssp. vulgare          r........
Poa nemoralis                          r....rrr1
Polygonatum multiflorum                rr1......
Potentilla sterilis                    rrrrr....
Prunus avium s.lat.                    ++......+
Quercus robur                          ++++..r..
Rhamnus cathartica                     r.r+.....
Rubus sect. Rubus                      +.222221+
Ulmus minor ssp. minor                 11+......
Viburnum lantana                       r........
Ajuga reptans                          .r.++...+
Betula pendula                         .r.......
Brachypodium pinnatum s.str.           .r.......
Bromus benekenii                       .r21.....
Calamagrostis epigejos                 .r12.....
Carpinus betulus                       .+.......
Clematis vitalba                       .11+...1+
Clinopodium vulgare ssp. vulgare       .r.1.....
Euonymus europaeus                     .+++.....
Galium mollugo s.str.                  .r.......
Geum urbanum                           .+1111+++
Hypericum perforatum                   .r.+.....
Prunus spinosa                         .r1+.r...
Rosa arvensis                          .1r+.....
Alliaria petiolata                     ..2......
Berberis vulgaris                      ..+1.....
Fragaria vesca                         ..r....1.
Lapsana communis s.lat.                ..r+.....
Robinia pseudacacia                    ..1......
Stachys alpina                         ..rr.....
Vincetoxicum hirundinaria              ..r1.....
Viola hirta                            ..+r.....
Viola riviniana                        ..r......
Artemisia vulgaris                     ...r.....
Betonica officinalis                   ...r.....
Carex sylvatica ssp. sylvatica         ...++....
Deschampsia cespitosa                  ...+.....
Juglans regia                          ...r.+..r
Physalis alkekengi var. alkekengi      ...r.....
Acer pseudoplatanus                    ....+..rr
Carex digitata                         ....+.+..
Circaea lutetiana ssp. lutetiana       ....+++.r
Dryopteris dilatata                    ....rr...
Galeopsis speciosa                     ....+.r+1
Parthenocissus inserta                 ....r+++.
Picea abies                            ....r....
Prunus padus ssp. padus                ....r....
Rubus caesius                          ....12325
Sambucus nigra                         ....+.++.
Galium aparine s.str.                  .....rr+1
Rubus idaeus                           .....+1+.
Populus alba                           ........1
Stachys sylvatica                      ........+
Urtica dioica ssp. dioica              ........2
Clematis vitalba                    sl +11+..+11
Cornus mas                             32+++....
Cornus sanguinea s.lat.                11+r33333
Crataegus monogyna                     1221++...
Euonymus europaeus                     +r.......
Ligustrum vulgare                      42+2.r..+
Lonicera xylosteum                     ++121+13+
Quercus robur                          r........
Rhamnus cathartica                     r..1.....
Ulmus minor ssp. minor                 11+......
Acer campestre                         .+.......
Berberis vulgaris                      .r12.....
Carpinus betulus                       .+.......
Prunus avium s.lat.                    .r.......
Prunus spinosa                         .+1+.....
Fraxinus excelsior                     ..+1+++++
Robinia pseudacacia                    ..+......
Acer pseudoplatanus                    ....+....
Juglans regia                          ....r....
Sambucus nigra                         ....2.22.
Parthenocissus inserta                 .....+...
Viburnum opulus                        .......r.
Populus alba                           ........+
Salix purpurea                         ........1
Fraxinus excelsior                 tl1 1.2......
Quercus robur                          4434.....
Pinus sylvestris                       .1..3234.
Ulmus minor ssp. minor                 .1.......
Robinia pseudacacia                    ..1......
Picea abies                            ....+....
Populus alba                           .....2..3
Salix alba                             .....2..2
Populus × canadensis s.lat.            ......2..
Salix eleagnos ssp. eleagnos           ......1..
Clematis vitalba                       .......1.
Carpinus betulus                   tl2 1........
Fraxinus excelsior                     12211+1.2
Quercus robur                          121+.....
Ulmus minor ssp. minor                 .2.......
Robinia pseudacacia                    ..2......
Picea abies                            .....112.
Prunus padus ssp. padus                .....1...
Clematis vitalba                       ......+21
Pinus sylvestris                       ........1
Populus alba                           ........1
Prunus avium s.lat.                    ........+
END TABLE
