BEGIN HEAD
plot                               12345
richness                           33233
                                   25888
                                        
END HEAD
BEGIN TABLE
Serratula tinctoria             hl 1....
Achillea millefolium               r....
Veronica arvensis                  r....
Vicia angustifolia                 r....
Betonica officinalis               r..r.
Bromus hordeaceus                  r....
Bromus sterilis                    r....
Calamagrostis epigejos             +....
Carex curvata                      r....
Carex hirta                        +....
Carex tomentosa                    r....
Cirsium arvense                    r....
Colchicum autumnale                2....
Dactylis glomerata                 +1+r+
Elymus repens                      1....
Euphorbia esula                    rr...
Festuca pratensis s.str.           2....
Filipendula vulgaris               ++.r.
Fragaria vesca                     2....
Galium boreale                     2....
Galium verum                       2++11
Alopecurus pratensis               2....
Cnidium dubium                     2....
Inula salicina                     2....
Lathyrus pratensis                 +...+
Lysimachia vulgaris                +....
Myosotis nemorosa                  r....
Ornithogalum umbellatum s.str.     r....
Plantago lanceolata                +....
Poa angustifolia                   22..1
Ranunculus polyanthemos            2....
Sanguisorba officinalis            r....
Senecio jacobaea                   .+.r.
Achillea millefolium agg.          .+..r
Tragopogon dubius                  .r...
Trifolium campestre                .r...
Veronica vindobonensis             .+..+
Bromus erectus                     .2223
Bromus tectorum                    .+...
Agrimonia eupatoria                .r..r
Carex spicata                      .+...
Centaurea jacea                    .+.++
Centaurea scabiosa                 .2++1
Clematis vitalba                   .+..r
Cornus sanguinea                   .r.r.
Dorycnium germanicum               .rr2.
Echium vulgare                     .r.rr
Elymus hispidus                    .+...
Eryngium campestre                 .+r+r
Falcaria vulgaris                  .1..r
Festuca rupicola                   .+22+
Fragaria viridis                   .+.+1
Galium album s.str.                .r...
Verbascum austriacum               .+r..
Knautia arvensis                   .+...
Lathyrus latifolius                .rrr.
Melampyrum arvense                 .2++r
Origanum vulgare                   .+.22
Peucedanum cervaria                .12++
Arenaria serpyllifolia s.str.      .r...
Arrhenatherum elatius              .2.2+
Scabiosa ochroleuca                .+.+.
Teucrium chamaedrys                ..1r.
Trifolium montanum                 ..+..
Avenula pubescens                  ..r..
Carex humilis                      ..1+.
Dianthus carthusianorum            ..rr.
Euphorbia cyparissias              ..r..
Hypericum perforatum               ..r..
Inula hirta                        ..2..
Koeleria pyramidata                ..+..
Peucedanum oreoselinum             ..+..
Arabis sagittata                   ..rr.
Phleum phleoides                   ..1+.
Pimpinella saxifraga s.str.        ..r.r
Plantago media                     ..++2
Pseudolysimachion spicatum         ..r..
Salvia pratensis                   ..r..
Achillea collina                   ..++.
Centaurea stoebe ssp. stoebe       ...r.
Crataegus monogyna                 ...r.
Alyssum alyssoides                 ...r.
Potentilla arenaria                ...2.
Lotus corniculatus                 ...+.
Medicago falcata                   ...rr
Onobrychis arenaria                ...r.
Anthyllis vulneraria               ...+r
Orobanche gracilis                 ...r.
Rosa canina s.lat. (= agg.)        ...r.
Sanguisorba minor                  ...+.
Securigera varia                   ....r
Trifolium pratense                 ....r
Trifolium repens                   ....r
Vicia tenuifolia                   ....+
Brachypodium pinnatum              ....+
Briza media                        ....+
Daucus carota                      ....+
Leontodon hispidus                 ....+
Leucanthemum vulgare               ....r
Medicago lupulina                  ....r
Ononis spinosa                     ....+
Pastinaca sativa                   ....+
Picris hieracioides                ....r
Rubus caesius                      ....r
END TABLE
