BEGIN HEAD
plot                                               ooooooooo
                                                   ddddddddd
                                                   000000000
                                                   123456789
richness                                           233344343
                                                   933743873
                                                            
END HEAD
BEGIN TABLE
Carpinus betulus                               tl1 32....2..
Fraxinus excelsior                                 212......
Tilia cordata                                      2......2.
Prunus avium s.lat.                                .22......
Acer pseudoplatanus                                ..2......
Fagus sylvatica                                    ..22...2.
Quercus robur                                      ..3...33.
Picea abies                                        ...2.....
Pinus sylvestris                                   ...2.....
Ulmus glabra                                       ...2.....
Carpinus betulus                               tl2 242...43.
Tilia cordata                                      222......
Acer campestre                                     .2.......
Fagus sylvatica                                    .2.2.....
Quercus robur                                      .2.......
Acer pseudoplatanus                                ..2......
Fraxinus excelsior                                 ..1......
Picea abies                                        ...2.....
Acer campestre                                  sl +1++.....
Acer pseudoplatanus                                +.+1.+.+.
Cornus sanguinea s.lat.                            2+2+.....
Corylus avellana                                   221....+.
Crataegus monogyna                                 +111...+.
Fraxinus excelsior                                 ++1+..+1.
Ligustrum vulgare                                  +13+..+1.
Lonicera xylosteum                                 11++..++.
Sambucus nigra                                     +.....+..
Sorbus aucuparia ssp. aucuparia                    +..+.....
Tilia cordata                                      22+....+.
Viburnum opulus                                    +.1......
Carpinus betulus                                   .2+...++.
Picea abies                                        .11......
Prunus avium s.lat.                                .++....+.
Viburnum lantana                                   .+2+.....
Clematis vitalba                                   ..+......
Euonymus europaeus                                 ..+......
Fagus sylvatica                                    ..+1.....
Quercus robur                                      ..+......
Prunus spinosa                                     ...+.....
Acer platanoides                                   ......+1.
Cotoneaster divaricatus                            .......+.
Crataegus laevigata ssp. laevigata                 .......+.
Juglans regia                                      .......+.
Acer campestre                                  hl ++++.....
Acer pseudoplatanus                                +.++.+++.
Brachypodium sylvaticum                            1.1+...+.
Calamagrostis varia                                1++......
Cardamine impatiens                                +........
Carex digitata                                     +1++..1+.
Carex ornithopoda ssp. ornithopoda                 1+.......
Carpinus betulus                                   11+.r.22.
Cornus sanguinea s.lat.                            1+1+...++
Corylus avellana                                   +1+....+.
Crataegus monogyna                                 +1++..++.
Daphne mezereum                                    +........
Fraxinus excelsior                                 1+++..12+
Galium aparine s.str.                              +........
Hedera helix                                       +1.+..+1.
Hepatica nobilis                                   r222..22.
Impatiens noli-tangere                             +........
Juglans regia                                      +.....r+.
Ligustrum vulgare                                  112+..11.
Lonicera xylosteum                                 1+++...+.
Melica nutans s.str.                               ++2+..++.
Pulmonaria officinalis s.str.                      +.1r.....
Salvia glutinosa                                   +.++.....
Sambucus nigra                                     +.....+..
Sorbus aucuparia ssp. aucuparia                    +..+...+.
Tilia cordata                                      1++...++.
Urtica dioica ssp. dioica                          r........
Viburnum opulus                                    1.1...++.
Viola riviniana                                    +......+.
Anemone nemorosa                                   .2+.+.22.
Campanula rapunculoides ssp. rapunculoides         .++....+.
Carex alba                                         .3.4.....
Carex montana                                      .+.+3.+2.
Fagus sylvatica                                    .+++..++.
Geum urbanum                                       .++....+.
Hieracium murorum                                  .+.......
Lilium martagon                                    .+....22.
Picea abies                                        .1+......
Poa angustifolia                                   .r...+..+
Poa nemoralis                                      .++......
Prunus avium s.lat.                                .++..r1+.
Quercus robur                                      .++rr.++.
Rhamnus cathartica                                 .++r.....
Rosa arvensis                                      .+.r..++.
Sesleria caerulea s.str.                           .+.......
Symphytum tuberosum s.lat.                         .+.....+.
Viburnum lantana                                   .+1+.....
Ajuga reptans                                      ..+.++++.
Clematis vitalba                                   ..++.....
Euonymus europaeus                                 ..++.....
Fragaria vesca                                     ..+..+.+.
Ulmus glabra                                       ..+......
Abies alba                                         ...+..rr.
Aegopodium podagraria                              ...r..+..
Aposeris foetida                                   ...r...1.
Carex flacca ssp. flacca                           ...r.+...
Euphorbia cyparissias                              ...r.....
Galium sylvaticum s.str.                           ...+.....
Polygonatum multiflorum                            ...r.....
Viola alba s.lat.                                  ...r.....
Alchemilla monticola                               ....+....
Anthoxanthum odoratum s.str.                       ....11...
Arrhenatherum elatius                              ....+2..2
Betonica officinalis                               ....1+..2
Brachypodium pinnatum s.str.                       ....++..3
Briza media                                        ....1+...
Bromus erectus                                     ....24..4
Campanula patula ssp. patula                       ....+....
Carex caryophyllea                                 ....+1..+
Centaurea jacea ssp. jacea                         ....+...+
Colchicum autumnale                                ....+.+..
Crepis biennis                                     ....+....
Cynosurus cristatus                                ....+....
Dactylis glomerata ssp. glomerata                  ....++..+
Equisetum arvense                                  ....+....
Galium album s.str.                                ....11..1
Holcus lanatus                                     ....+1...
Homalotrichon pubescens ssp. pubescens             ....1...1
Hypericum perforatum                               ....+....
Lotus corniculatus s.str.                          ....+...+
Luzula campestris s.str.                           ....+1...
Molinia caerulea agg.                              ....2+r+.
Orobanche sp.                                      ....r....
Plantago lanceolata                                ....+...+
Potentilla erecta                                  ....+....
Potentilla sterilis                                ....+....
Ranunculus acris ssp. acris                        ....++...
Ranunculus nemorosus                               ....r+..+
Rhinanthus alectorolophus ssp. alectorolophus      ....2....
Rumex acetosa                                      ....+....
Sanguisorba officinalis                            ....1....
Taraxacum sect. Ruderalia                          ....+.+..
Tragopogon pratensis ssp. pratensis                ....r....
Trifolium pratense ssp. pratense                   ....1+..+
Trisetum flavescens ssp. flavescens                ....1+...
Valeriana officinalis ssp. tenuifolia              ....+....
Veronica chamaedrys ssp. chamaedrys                ....+...1
Vicia cracca s.str.                                ....++..+
Viola hirta                                        ....r....
Achillea millefolium agg.                          .....+..1
Arabis hirsuta s.str.                              .....+..+
Arenaria serpyllifolia s.str.                      .....+...
Campanula rotundifolia s.str.                      .....+..+
Carex polyphylla                                   .....+...
Cerastium holosteoides                             .....+...
Cirsium vulgare                                    .....r...
Erigeron annuus s.lat.                             .....+...
Festuca rubra s.lat.                               .....2..1
Knautia arvensis ssp. arvensis                     .....r..+
Lathyrus pratensis ssp. pratensis                  .....+..+
Myosotis arvensis ssp. arvensis                    .....+...
Origanum vulgare ssp. vulgare                      .....2..+
Ranunculus bulbosus s.str.                         .....+..+
Salvia pratensis ssp. pratensis                    .....r..2
Sanguisorba minor ssp. minor                       .....+...
Securigera varia                                   .....1...
Silene vulgaris ssp. vulgaris                      .....+...
Solidago canadensis                                .....+...
Thymus pulegioides ssp. pulegioides                .....+..+
Acer platanoides                                   ......++.
Actaea spicata                                     ......+..
Allium vineale                                     ......++.
Convallaria majalis ssp. majalis                   ......+..
Gagea lutea                                        ......+..
Galeobdolon montanum                               ......21.
Listera ovata                                      ......+..
Mahonia aquifolium                                 ......rr.
Phyteuma spicatum ssp. spicatum                    ......++.
Viburnum rhytidophyllum                            ......r..
Cephalanthera damasonium                           .......r.
Crataegus laevigata ssp. laevigata                 .......+.
Euphorbia dulcis                                   .......+.
Festuca gigantea                                   .......+.
Luzula pilosa                                      .......r.
Primula veris ssp. veris                           .......r.
Ribes spicatum                                     .......r.
Viola reichenbachiana                              .......+.
Campanula glomerata                                ........+
Cotoneaster horizontalis                           ........r
Leontodon hispidus s.lat.                          ........+
Medicago lupulina                                  ........+
Pastinaca sativa ssp. sativa                       ........r
Polytrichum formosum                            ml ...+..+..
END TABLE
