BEGIN HEAD
plot                             000000000111111111122222222223333
                                 123456789012345678901234567890123
richness                         212311       121     212 11122 23
                                 280289678667870412636335730023902
                                                                  
END HEAD
BEGIN TABLE
Senecio sarracenicus          hl 2.....................1..........
Solidago gigantea                1............22.....r.+....+.....
Symphytum officinale             r................r...............
Urtica dioica                    32r++1..24............2...+21....
Calystegia sepium                +........+..r..............rr...r
Agrostis stolonifera             12122.....+321+......223342.22.+.
Fallopia dumetorum               +................................
Festuca gigantea                 rr.....................r.........
Persicaria mitis                 r+...........r...................
Persicaria lapathifolia          r+.r...........+....r2.+.+++2+rrr
Phalaris arundinacea             23.2...1...222+......22232444+...
Acer negundo                     +rrr1........+.......+3r+rr2.r...
Poa annua                        r+.r...........r.....+.+.....r...
Poa trivialis                    22212.........+......22221.2.r...
Acer pseudoplatanus              r...r...................r........
Ranunculus repens                r..........r.................r...
Rubus caesius                    +2+.+..221+r+2+2......2r...+r..rr
Festuca arundinacea              .+..................+............
Galium aparine                   .r.r+................r.r.r..r....
Glechoma hederacea               .r..r............................
Iris pseudacorus                 .r...............................
Myosoton aquaticum               .r...................r.r.r.......
Aegopodium podagraria            ..+.+2...........................
Carpinus betulus                 ..r.r............................
Euonymus europaeus               ..r..............................
Ranunculus ficaria               ..2r2............................
Acer campestre                   ..r..r...........................
Acer platanoides                 ..2..............................
Prunus padus                     ..r...............r..............
Quercus robur                    ..r..............................
Sambucus nigra                   ..rrr............................
Sonchus oleraceus                ...r.............................
Aster lanceolatus                ...r......1..+2+......+.........r
Veronica beccabunga              ...r.................1.r....r2...
Elymus repens                    ...r..........2.........2........
Fraxinus excelsior               ...r...................r.........
Galium elongatum                 ...r.............................
Taraxacum officinale agg.        ...r..........r..................
Carex gracilis                   ...r.............................
Impatiens glandulifera           ...r...................+...+.....
Juncus bufonius                  ...r.............................
Lycopus europaeus                ...+.............................
Lysimachia vulgaris              ...r.........+.+.................
Lythrum salicaria                ...r...................r..r......
Mentha aquatica                  ...r.............................
Populus alba                     ...r........................r...r
Rorippa sylvestris               ...r..r...r..r.rr.r.r2......2+.r.
Rumex obtusifolius               ...r..............r..r...........
Salix purpurea                   ...r..............r+............r
Scrophularia nodosa              ...r..........................r.r
Scutellaria galericulata         ...r.............................
Veronica sublobata               ....r............................
Corydalis cava                   ....+............................
Stellaria media                  .....1...........................
Viola odorata                    .....+...........................
Carduus crispus                  .....+...........................
Polygonatum latifolium           .....+...........................
Carex riparia                    ......1........+.................
Juncus compressus                ......r........+.................
Phragmites australis             .......2.................12.r+r..
Cirsium oleraceum                ........r........................
Angelica sylvestris              ........1........................
Humulus lupulus                  .........+.......................
Artemisia vulgaris               ...........r.r.......rr.......r+.
Solanum dulcamara                ............r..+.................
Arctium minus agg.               ............r.r..................
Tanacetum vulgare                .............r...................
Centaurea jacea                  .............+r..................
Cirsium arvense                  .............rr..r...............
Deschampsia cespitosa            .............+.1.....+2r.........
Linaria vulgaris                 .............+..................r
Populus nigra                    .............2....+r........2....
Vicia sepium                     ..............r..................
Clematis vitalba                 ..............r...r.............r
Equisetum arvense                ..............+........r.....2.rr
Festuca pratensis s.str.         ..............1..................
Aristolochia clematitis          ..............+..................
Juncus tenuis                    ...............1.................
Persicaria dubia                 ...................r.1.r.r+.1+...
Taraxacum sect. Ruderalia        ....................r.rr.........
Bidens frondosus                 ....................r.......+....
Sisymbrium loeselii              .....................r..........r
Barbarea vulgaris                .....................r.........rr
Carex acuta                      .....................2.+.22..2...
Geum urbanum                     .....................r...........
Lactuca serriola                 .....................r...........
Anthriscus sylvestris            .....................r...........
Plantago major                   .....................r......+r.rr
Rorippa amphibia                 .....................2.r....+2...
Rumex crispus                    .....................+...........
Allium scorodoprasum             ......................r..........
Veronica anagallis-aquatica      .......................r.........
Dactylis glomerata               .......................r......rrr
Holcus lanatus                   .......................r.........
Lolium perenne                   .......................r.........
Poa pratensis                    .......................r.........
Ficaria verna agg.               ........................+r.......
Echinochloa crus-galli           .........................rr.+r.rr
Salix alba                       .........................1..1+..r
Prunus avium                     ...........................r.....
Equisetum hyemale                ............................r....
Erigeron annuus                  ............................r....
Rumex palustris                  ............................r....
Salix fragilis                   ............................r....
